14-mar-2019,,,,,,,,,,,,,,,
iShares MSCI Emerging Markets ETF,,,,,,,,,,,,,,,
Inception Date,07-abr-2003,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 34,656,687,264.36",,,,,,,,,,,,,,
Number of Securities,959.00,,,,,,,,,,,,,,
Share,"807,750,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
AMXL,AMERICA MOVIL L,Equity,0.46,0.72,"219,312,300.00","158,057,800.50","158,057,800.50",Comunicación,2667470,MXP001691213,Bolsa Mexicana De Valores,México,USD,MXN,19.30
QNBK,QATAR NATIONAL BANK,Equity,0.43,49.16,"2,974,431.00","146,219,883.01","146,219,883.01",Financieros,6148197,QA0006929895,Qatar Exchange,Qatar,USD,QAR,3.64
386,CHINA PETROLEUM AND CHEMICAL CORP,Equity,0.40,0.84,"163,868,800.00","137,567,168.20","137,567,168.20",Energía,6291819,CNE1000002Q2,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
GAZP,GAZPROM,Equity,0.40,2.33,"58,732,609.00","136,936,622.77","136,936,622.77",Energía,B59L4L7,RU0007661625,Standard-Classica-Forts,Rusia,USD,RUB,65.49
ABEV3,AMBEV SA,Equity,0.39,4.34,"30,938,715.00","134,428,446.37","134,428,446.37",Productos básicos de consumo,BG7ZWY7,BRABEVACNOR1,XBSP,Brasil,USD,BRL,3.83
JD,JD.COM ADR REPRESENTING INC CLASS,Equity,0.39,27.89,"4,764,900.00","132,893,061.00","132,893,061.00",Consumo discrecional,BMM27D9,US47215P1066,NASDAQ,China,USD,USD,1.00
2628,CHINA LIFE INSURANCE LTD H,Equity,0.38,2.69,"48,865,000.00","131,656,220.74","131,656,220.74",Financieros,6718976,CNE1000002L3,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
AXISBANK,AXIS BANK LTD,Equity,0.37,10.67,"11,778,807.00","125,638,346.08","125,638,346.08",Financieros,BPFJHC7,INE238A01034,National Stock Exchange Of India,India,USD,INR,69.43
BBCA,BANK CENTRAL ASIA,Equity,0.36,1.92,"64,260,800.00","123,413,886.59","123,413,886.59",Financieros,B01C1P6,ID1000109507,Indonesia Stock Exchange,Indonesia,USD,IDR,"14,267.00"
NTES,NETEASE ADR INC,Equity,0.35,238.57,"506,084.00","120,736,459.88","120,736,459.88",Comunicación,2606440,US64110W1027,NASDAQ,China,USD,USD,1.00
B3SA3,B3 BRASIL BOLSA BALCAO SA,Equity,0.34,8.65,"13,482,901.00","116,673,879.24","116,673,879.24",Financieros,BG36ZK1,BRB3SAACNOR6,XBSP,Brasil,USD,BRL,3.83
3968,CHINA MERCHANTS BANK LTD H,Equity,0.34,4.60,"25,140,467.00","115,614,858.53","115,614,858.53",Financieros,B1DYPZ5,CNE1000002M1,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
005490,POSCO,Equity,0.33,226.49,"508,081.00","115,076,070.33","115,076,070.33",Materiales,6693233,KR7005490008,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
PBBANK,PUBLIC BANK,Equity,0.33,5.97,"19,039,030.00","113,699,179.77","113,699,179.77",Financieros,B012W42,MYL1295OO004,Bursa Malaysia,Malasia,USD,MYR,4.09
TATN,TATNEFT,Equity,0.33,11.18,"10,033,720.00","112,127,606.26","112,127,606.26",Energía,B59BXN2,RU0009033591,Standard-Classica-Forts,Rusia,USD,RUB,65.49
