14-mar-2019,,,,,,,,,,,,,,,
iShares MSCI EAFE ETF,,,,,,,,,,,,,,,
Inception Date,14-ago-2001,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 65,613,077,234.69",,,,,,,,,,,,,,
Number of Securities,924.00,,,,,,,,,,,,,,
Share,"1,008,600,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
BAS,BASF N,Equity,0.50,74.82,"4,355,234.00","325,878,143.28","325,878,143.28",Materiales,5086577,DE000BASF111,Xetra,Alemania,USD,EUR,0.88
OR,LOREAL SA,Equity,0.48,262.94,"1,192,603.00","313,586,217.07","313,586,217.07",Productos básicos de consumo,4057808,FR0000120321,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
WBC,WESTPAC BANKING CORP,Equity,0.47,18.78,"16,250,289.00","305,195,540.19","305,195,540.19",Financieros,6076146,AU000000WBC1,Asx - All Markets,Australia,USD,AUD,1.42
RIO,RIO TINTO PLC,Equity,0.46,55.38,"5,446,128.00","301,589,288.08","301,589,288.08",Materiales,0718875,GB0007188757,London Stock Exchange,Reino Unido,USD,GBP,0.75
CSL,CSL LTD,Equity,0.46,138.52,"2,145,383.00","297,178,344.82","297,178,344.82",Cuidado de la Salud,6185495,AU000000CSL8,Asx - All Markets,Australia,USD,AUD,1.42
4502,TAKEDA PHARMACEUTICAL LTD,Equity,0.45,41.54,"7,034,210.00","292,210,603.38","292,210,603.38",Cuidado de la Salud,6870445,JP3463000004,Tokyo Stock Exchange,Japón,USD,JPY,111.72
ULVR,UNILEVER PLC,Equity,0.45,55.70,"5,231,088.00","291,348,684.20","291,348,684.20",Productos básicos de consumo,B10RZP7,GB00B10RZP78,London Stock Exchange,Reino Unido,USD,GBP,0.75
ABI,ANHEUSER BUSCH INBEV NV,Equity,0.44,79.90,"3,613,197.00","288,695,184.62","288,695,184.62",Productos básicos de consumo,BYYHL23,BE0974293251,Nyse Euronext - Euronext Brussels,Bélgica,USD,EUR,0.88
LLOY,LLOYDS BANKING GROUP PLC,Equity,0.44,0.85,"335,562,904.00","284,374,595.03","284,374,595.03",Financieros,0870612,GB0008706128,London Stock Exchange,Reino Unido,USD,GBP,0.75
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Equity,0.43,5.06,"55,797,580.00","282,084,435.95","282,084,435.95",Financieros,6335171,JP3902900004,Tokyo Stock Exchange,Japón,USD,JPY,111.72
6861,KEYENCE CORP,Equity,0.43,598.01,"463,346.00","277,086,880.24","277,086,880.24",Tecnología de la Información,6490995,JP3236200006,Tokyo Stock Exchange,Japón,USD,JPY,111.72
6758,SONY CORP,Equity,0.42,45.90,"6,010,800.00","275,898,517.72","275,898,517.72",Consumo discrecional,6821506,JP3435000009,Tokyo Stock Exchange,Japón,USD,JPY,111.72
DTE,DEUTSCHE TELEKOM N AG,Equity,0.42,17.17,"15,798,669.00","271,287,405.59","271,287,405.59",Comunicación,5842359,DE0005557508,Xetra,Alemania,USD,EUR,0.88
