14-mar-2019,,,,,,,,,,,,,,,
iShares MSCI ACWI ETF,,,,,,,,,,,,,,,
Inception Date,26-mar-2008,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 10,132,504,573.17",,,,,,,,,,,,,,
Number of Securities,"1,376.00",,,,,,,,,,,,,,
Share,"140,800,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
BA,BOEING,Equity,0.46,373.30,"124,738.00","46,564,695.40","46,564,695.40",Industriales,2108601,US0970231058,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
NOVN,NOVARTIS AG,Equity,0.44,92.13,"476,718.00","43,920,039.54","43,920,039.54",Cuidado de la Salud,7103065,CH0012005267,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
CMCSA,COMCAST CORP CLASS A,Equity,0.41,39.87,"1,046,144.00","41,709,761.28","41,709,761.28",Comunicación,2044545,US20030N1019,NASDAQ,Estados Unidos,USD,USD,1.00
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Equity,0.41,7.59,"5,482,000.00","41,600,187.69","41,600,187.69",Tecnología de la Información,6889106,TW0002330008,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
KO,COCA-COLA,Equity,0.41,45.70,"898,521.00","41,062,409.70","41,062,409.70",Productos básicos de consumo,2206657,US1912161007,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
ROG,ROCHE HOLDING PAR AG,Equity,0.41,273.58,"149,066.00","40,781,857.53","40,781,857.53",Cuidado de la Salud,7110388,CH0012032048,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
DIS,WALT DISNEY,Equity,0.38,114.48,"335,926.00","38,456,808.48","38,456,808.48",Comunicación,2270726,US2546871060,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
005930,SAMSUNG ELECTRONICS LTD,Equity,0.38,38.64,"994,752.00","38,441,768.93","38,441,768.93",Tecnología de la Información,6771720,KR7005930003,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
C,CITIGROUP INC,Equity,0.36,64.11,"567,424.00","36,377,552.64","36,377,552.64",Financieros,2297907,US1729674242,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
PEP,PEPSICO INC,Equity,0.36,115.50,"313,591.00","36,219,760.50","36,219,760.50",Productos básicos de consumo,2681511,US7134481081,NASDAQ,Estados Unidos,USD,USD,1.00
NFLX,NETFLIX INC,Equity,0.35,358.82,"96,818.00","34,740,234.76","34,740,234.76",Comunicación,2857817,US64110L1061,NASDAQ,Estados Unidos,USD,USD,1.00
HSBA,HSBC HOLDINGS PLC,Equity,0.33,8.24,"4,049,464.00","33,370,714.41","33,370,714.41",Financieros,0540528,GB0005405286,London Stock Exchange,Reino Unido,USD,GBP,0.75
ORCL,ORACLE CORP,Equity,0.33,53.05,"624,448.00","33,126,966.40","33,126,966.40",Tecnología de la Información,2661568,US68389X1054,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
