14-mar-2019,,,,,,,,,,,
iShares Core S&P 500 ETF,,,,,,,,,,,
Inception Date,15-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 169,001,161,736.76",,,,,,,,,,
Number of Securities,506.00,,,,,,,,,,
Share,"594,350,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.59,89.79,"11,025,564.00","989,985,391.56","989,985,391.56",Productos básicos de consumo,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
ABT,ABBOTT LABORATORIES,Equity,0.59,78.98,"12,464,641.00","984,457,346.18","984,457,346.18",Cuidado de la Salud,2002305,US0028241000,New York Stock Exchange Inc.
ORCL,ORACLE CORP,Equity,0.57,53.05,"18,076,396.00","958,952,807.80","958,952,807.80",Tecnología de la Información,2661568,US68389X1054,New York Stock Exchange Inc.
ADBE,ADOBE INC,Equity,0.55,267.69,"3,462,063.00","926,759,644.47","926,759,644.47",Tecnología de la Información,2008154,US00724F1012,NASDAQ
DWDP,DOWDUPONT INC,Equity,0.53,55.03,"16,281,366.00","895,963,570.98","895,963,570.98",Materiales,BYP66M4,US26078J1007,New York Stock Exchange Inc.
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.53,138.79,"6,453,496.00","895,680,709.84","895,680,709.84",Tecnología de la Información,2005973,US4592001014,New York Stock Exchange Inc.
MDT,MEDTRONIC PLC,Equity,0.53,93.33,"9,527,028.00","889,157,523.24","889,157,523.24",Cuidado de la Salud,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
CRM,SALESFORCE.COM INC,Equity,0.52,160.67,"5,429,089.00","872,291,729.63","872,291,729.63",Tecnología de la Información,2310525,US79466L3024,New York Stock Exchange Inc.
UNP,UNION PACIFIC CORP,Equity,0.51,165.17,"5,229,023.00","863,677,728.91","863,677,728.91",Industriales,2914734,US9078181081,New York Stock Exchange Inc.
MMM,3M,Equity,0.51,207.38,"4,131,416.00","856,773,050.08","856,773,050.08",Industriales,2595708,US88579Y1010,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,0.51,79.95,"10,667,130.00","852,837,043.50","852,837,043.50",Cuidado de la Salud,B92SR70,US00287Y1091,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.50,187.76,"4,519,755.00","848,629,198.80","848,629,198.80",Cuidado de la Salud,2023607,US0311621009,NASDAQ
PYPL,PAYPAL HOLDINGS INC,Equity,0.49,99.03,"8,369,993.00","828,880,406.79","828,880,406.79",Tecnología de la Información,BYW36M8,US70450Y1038,NASDAQ
LLY,ELI LILLY,Equity,0.49,123.08,"6,691,176.00","823,549,942.08","823,549,942.08",Cuidado de la Salud,2516152,US5324571083,New York Stock Exchange Inc.
HON,HONEYWELL INTERNATIONAL INC,Equity,0.49,155.25,"5,253,837.00","815,658,194.25","815,658,194.25",Industriales,2020459,US4385161066,New York Stock Exchange Inc.
AVGO,BROADCOM INC,Equity,0.47,268.20,"2,932,460.00","786,485,772.00","786,485,772.00",Tecnología de la Información,BDZ78H9,US11135F1012,NASDAQ
NKE,NIKE INC CLASS B,Equity,0.47,86.87,"9,037,708.00","785,105,693.96","785,105,693.96",Consumo discrecional,2640147,US6541061031,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,0.45,56.40,"13,335,616.00","752,128,742.40","752,128,742.40",Productos básicos de consumo,2692632,US02209S1033,New York Stock Exchange Inc.
TMO,THERMO FISHER SCIENTIFIC INC,Equity,0.44,261.43,"2,857,033.00","746,914,137.19","746,914,137.19",Cuidado de la Salud,2886907,US8835561023,New York Stock Exchange Inc.
ACN,ACCENTURE PLC CLASS A,Equity,0.44,164.82,"4,520,463.00","745,062,711.66","745,062,711.66",Tecnología de la Información,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
UTX,UNITED TECHNOLOGIES CORP,Equity,0.43,126.89,"5,755,363.00","730,298,011.07","730,298,011.07",Industriales,2915500,US9130171096,New York Stock Exchange Inc.
TXN,TEXAS INSTRUMENT INC,Equity,0.43,107.10,"6,817,565.00","730,161,211.50","730,161,211.50",Tecnología de la Información,2885409,US8825081040,NASDAQ
COST,COSTCO WHOLESALE CORP,Equity,0.43,233.84,"3,107,436.00","726,642,834.24","726,642,834.24",Productos básicos de consumo,2701271,US22160K1051,NASDAQ
NVDA,NVIDIA CORP,Equity,0.43,165.56,"4,329,104.00","716,726,458.24","716,726,458.24",Tecnología de la Información,2379504,US67066G1040,NASDAQ
LIN,LINDE PLC,Equity,0.41,174.21,"3,910,816.00","681,303,255.36","681,303,255.36",Materiales,BZ12WP8,IE00BZ12WP82,New York Stock Exchange Inc.
NEE,NEXTERA ENERGY INC,Equity,0.39,190.98,"3,391,838.00","647,773,221.24","647,773,221.24",Servicios,2328915,US65339F1012,New York Stock Exchange Inc.
GE,GENERAL ELECTRIC,Equity,0.38,10.30,"61,730,121.00","635,820,246.30","635,820,246.30",Industriales,2380498,US3696041033,New York Stock Exchange Inc.
SBUX,STARBUCKS CORP,Equity,0.37,70.74,"8,796,731.00","622,280,750.94","622,280,750.94",Consumo discrecional,2842255,US8552441094,NASDAQ
GILD,GILEAD SCIENCES INC,Equity,0.35,64.79,"9,180,791.00","594,823,448.89","594,823,448.89",Cuidado de la Salud,2369174,US3755581036,NASDAQ
AMT,AMERICAN TOWER REIT CORP,Equity,0.35,187.97,"3,123,113.00","587,051,550.61","587,051,550.61",Bienes Raíces,B7FBFL2,US03027X1000,New York Stock Exchange Inc.
BMY,BRISTOL MYERS SQUIBB,Equity,0.34,49.89,"11,573,844.00","577,419,077.16","577,419,077.16",Cuidado de la Salud,2126335,US1101221083,New York Stock Exchange Inc.
LOW,LOWES COMPANIES INC,Equity,0.34,100.81,"5,693,168.00","573,928,266.08","573,928,266.08",Consumo discrecional,2536763,US5486611073,New York Stock Exchange Inc.
BKNG,BOOKING HOLDINGS INC,Equity,0.34,"1,743.88","328,565.00","572,977,932.20","572,977,932.20",Consumo discrecional,BDRXDB4,US09857L1089,NASDAQ
DHR,DANAHER CORP,Equity,0.33,128.11,"4,377,342.00","560,781,283.62","560,781,283.62",Cuidado de la Salud,2250870,US2358511028,New York Stock Exchange Inc.
ANTM,ANTHEM INC,Equity,0.33,305.45,"1,831,837.00","559,534,611.65","559,534,611.65",Cuidado de la Salud,BSPHGL4,US0367521038,New York Stock Exchange Inc.
CAT,CATERPILLAR INC,Equity,0.33,133.69,"4,181,545.00","559,030,751.05","559,030,751.05",Industriales,2180201,US1491231015,New York Stock Exchange Inc.
AXP,AMERICAN EXPRESS,Equity,0.33,112.35,"4,967,029.00","558,045,708.15","558,045,708.15",Financieros,2026082,US0258161092,New York Stock Exchange Inc.
USB,US BANCORP,Equity,0.33,51.71,"10,772,888.00","557,066,038.48","557,066,038.48",Financieros,2736035,US9029733048,New York Stock Exchange Inc.
COP,CONOCOPHILLIPS,Equity,0.33,67.02,"8,162,409.00","547,044,651.18","547,044,651.18",Energía,2685717,US20825C1045,New York Stock Exchange Inc.
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.33,110.88,"4,928,654.00","546,489,155.52","546,489,155.52",Industriales,2517382,US9113121068,New York Stock Exchange Inc.
LMT,LOCKHEED MARTIN CORP,Equity,0.31,298.51,"1,756,178.00","524,236,694.78","524,236,694.78",Industriales,2522096,US5398301094,New York Stock Exchange Inc.
CVS,CVS HEALTH CORP,Equity,0.30,55.88,"9,170,485.00","512,446,701.80","512,446,701.80",Cuidado de la Salud,2577609,US1266501006,New York Stock Exchange Inc.
XTSLA,BLK CSH FND TREASURY SL AGENCY,Money Market,0.30,1.00,"503,541,803.00","503,541,803.23","503,541,803.23",Liquidez,--,US0669224778,--
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Equity,0.29,47.35,"10,312,470.00","488,295,454.50","488,295,454.50",Productos básicos de consumo,B8CKK03,US6092071058,NASDAQ
GS,GOLDMAN SACHS GROUP INC,Equity,0.29,197.47,"2,455,203.00","484,828,936.41","484,828,936.41",Financieros,2407966,US38141G1040,New York Stock Exchange Inc.
BDX,BECTON DICKINSON,Equity,0.29,252.26,"1,903,796.00","480,251,578.96","480,251,578.96",Cuidado de la Salud,2087807,US0758871091,New York Stock Exchange Inc.
ADP,AUTOMATIC DATA PROCESSING INC,Equity,0.28,153.51,"3,106,538.00","476,884,648.38","476,884,648.38",Tecnología de la Información,2065308,US0530151036,NASDAQ
QCOM,QUALCOMM INC,Equity,0.28,55.40,"8,602,720.00","476,590,688.00","476,590,688.00",Tecnología de la Información,2714923,US7475251036,NASDAQ
INTU,INTUIT INC,Equity,0.28,256.77,"1,839,374.00","472,296,061.98","472,296,061.98",Tecnología de la Información,2459020,US4612021034,NASDAQ
BIIB,BIOGEN INC,Equity,0.27,321.52,"1,429,897.00","459,740,483.44","459,740,483.44",Cuidado de la Salud,2455965,US09062X1037,NASDAQ
CI,CIGNA CORP,Equity,0.27,169.56,"2,700,470.00","457,891,693.20","457,891,693.20",Cuidado de la Salud,BHJ0775,US1255231003,New York Stock Exchange Inc.
TJX,TJX INC,Equity,0.27,52.10,"8,782,926.00","457,590,444.60","457,590,444.60",Consumo discrecional,2989301,US8725401090,New York Stock Exchange Inc.
DUK,DUKE ENERGY CORP,Equity,0.27,90.36,"5,053,560.00","456,639,681.60","456,639,681.60",Servicios,B7VD3F2,US26441C2044,New York Stock Exchange Inc.
ISRG,INTUITIVE SURGICAL INC,Equity,0.27,558.73,"809,417.00","452,245,560.41","452,245,560.41",Cuidado de la Salud,2871301,US46120E6023,NASDAQ
CB,CHUBB LTD,Equity,0.26,135.40,"3,268,933.00","442,613,528.20","442,613,528.20",Financieros,B3BQMF6,CH0044328745,New York Stock Exchange Inc.
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Equity,0.26,352.71,"1,250,967.00","441,228,570.57","441,228,570.57",Comunicación,BZ6VT82,US16119P1084,NASDAQ
