14-mar-2019,,,,,,,,,,,
iShares S&P 500 Growth ETF,,,,,,,,,,,
Inception Date,22-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 22,414,923,835.96",,,,,,,,,,
Number of Securities,296.00,,,,,,,,,,
Share,"131,000,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
AMT,AMERICAN TOWER REIT CORP,Equity,0.66,187.97,"783,534.00","147,280,885.98","147,280,885.98",Bienes Raíces,B7FBFL2,US03027X1000,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.63,187.76,"748,193.00","140,480,717.68","140,480,717.68",Cuidado de la Salud,2023607,US0311621009,NASDAQ
USB,US BANCORP,Equity,0.63,51.71,"2,700,585.00","139,647,250.35","139,647,250.35",Financieros,2736035,US9029733048,New York Stock Exchange Inc.
COP,CONOCOPHILLIPS,Equity,0.62,67.02,"2,046,693.00","137,169,364.86","137,169,364.86",Energía,2685717,US20825C1045,New York Stock Exchange Inc.
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.57,89.79,"1,409,542.00","126,562,776.18","126,562,776.18",Productos básicos de consumo,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
TXN,TEXAS INSTRUMENT INC,Equity,0.54,107.10,"1,127,345.00","120,738,649.50","120,738,649.50",Tecnología de la Información,2885409,US8825081040,NASDAQ
ORCL,ORACLE CORP,Equity,0.54,53.05,"2,266,650.00","120,245,782.50","120,245,782.50",Tecnología de la Información,2661568,US68389X1054,New York Stock Exchange Inc.
ADP,AUTOMATIC DATA PROCESSING INC,Equity,0.54,153.51,"778,326.00","119,480,824.26","119,480,824.26",Tecnología de la Información,2065308,US0530151036,NASDAQ
INTU,INTUIT INC,Equity,0.53,256.77,"461,389.00","118,470,853.53","118,470,853.53",Tecnología de la Información,2459020,US4612021034,NASDAQ
TJX,TJX INC,Equity,0.51,52.10,"2,200,441.00","114,642,976.10","114,642,976.10",Consumo discrecional,2989301,US8725401090,New York Stock Exchange Inc.
LIN,LINDE PLC,Equity,0.51,174.21,"656,444.00","114,359,109.24","114,359,109.24",Materiales,BZ12WP8,IE00BZ12WP82,New York Stock Exchange Inc.
ISRG,INTUITIVE SURGICAL INC,Equity,0.51,558.73,"203,050.00","113,450,126.50","113,450,126.50",Cuidado de la Salud,2871301,US46120E6023,NASDAQ
ABBV,ABBVIE INC,Equity,0.50,79.95,"1,391,147.00","111,222,202.65","111,222,202.65",Cuidado de la Salud,B92SR70,US00287Y1091,New York Stock Exchange Inc.
MMM,3M,Equity,0.49,207.38,"527,969.00","109,490,211.22","109,490,211.22",Industriales,2595708,US88579Y1010,New York Stock Exchange Inc.
CSX,CSX CORP,Equity,0.47,73.00,"1,426,032.00","104,100,336.00","104,100,336.00",Industriales,2160753,US1264081035,NASDAQ
HON,HONEYWELL INTERNATIONAL INC,Equity,0.46,155.25,"657,973.00","102,150,308.25","102,150,308.25",Industriales,2020459,US4385161066,New York Stock Exchange Inc.
NKE,NIKE INC CLASS B,Equity,0.45,86.87,"1,154,075.00","100,254,495.25","100,254,495.25",Consumo discrecional,2640147,US6541061031,New York Stock Exchange Inc.
BSX,BOSTON SCIENTIFIC CORP,Equity,0.44,40.05,"2,459,737.00","98,512,466.85","98,512,466.85",Cuidado de la Salud,2113434,US1011371077,New York Stock Exchange Inc.
NVDA,NVIDIA CORP,Equity,0.43,165.56,"574,627.00","95,135,246.12","95,135,246.12",Tecnología de la Información,2379504,US67066G1040,NASDAQ
SPGI,S&P GLOBAL INC,Equity,0.40,201.60,"445,911.00","89,895,657.60","89,895,657.60",Financieros,BYV2325,US78409V1044,New York Stock Exchange Inc.
UTX,UNITED TECHNOLOGIES CORP,Equity,0.39,126.89,"692,390.00","87,857,367.10","87,857,367.10",Industriales,2915500,US9130171096,New York Stock Exchange Inc.
OXY,OCCIDENTAL PETROLEUM CORP,Equity,0.39,65.21,"1,343,273.00","87,594,832.33","87,594,832.33",Energía,2655408,US6745991058,New York Stock Exchange Inc.
ACN,ACCENTURE PLC CLASS A,Equity,0.39,164.82,"520,996.00","85,870,560.72","85,870,560.72",Tecnología de la Información,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
VRTX,VERTEX PHARMACEUTICALS INC,Equity,0.38,186.11,"454,216.00","84,534,139.76","84,534,139.76",Cuidado de la Salud,2931034,US92532F1003,NASDAQ
ILMN,ILLUMINA INC,Equity,0.36,309.20,"261,207.00","80,765,204.40","80,765,204.40",Cuidado de la Salud,2613990,US4523271090,NASDAQ
SBUX,STARBUCKS CORP,Equity,0.36,70.74,"1,123,988.00","79,510,911.12","79,510,911.12",Consumo discrecional,2842255,US8552441094,NASDAQ
LMT,LOCKHEED MARTIN CORP,Equity,0.35,298.51,"263,743.00","78,729,922.93","78,729,922.93",Industriales,2522096,US5398301094,New York Stock Exchange Inc.
DHR,DANAHER CORP,Equity,0.35,128.11,"613,996.00","78,659,027.56","78,659,027.56",Cuidado de la Salud,2250870,US2358511028,New York Stock Exchange Inc.
ECL,ECOLAB INC,Equity,0.35,173.60,"452,549.00","78,562,506.40","78,562,506.40",Materiales,2304227,US2788651006,New York Stock Exchange Inc.
BDX,BECTON DICKINSON,Equity,0.34,252.26,"300,187.00","75,725,172.62","75,725,172.62",Cuidado de la Salud,2087807,US0758871091,New York Stock Exchange Inc.
ICE,INTERCONTINENTAL EXCHANGE INC,Equity,0.34,73.89,"1,012,004.00","74,776,975.56","74,776,975.56",Financieros,BFSSDS9,US45866F1049,New York Stock Exchange Inc.
BMY,BRISTOL MYERS SQUIBB,Equity,0.33,49.89,"1,478,864.00","73,780,524.96","73,780,524.96",Cuidado de la Salud,2126335,US1101221083,New York Stock Exchange Inc.
APD,AIR PRODUCTS AND CHEMICALS INC,Equity,0.32,185.21,"390,627.00","72,348,026.67","72,348,026.67",Materiales,2011602,US0091581068,New York Stock Exchange Inc.
WM,WASTE MANAGEMENT INC,Equity,0.32,101.16,"696,597.00","70,467,752.52","70,467,752.52",Industriales,2937667,US94106L1098,New York Stock Exchange Inc.
AXP,AMERICAN EXPRESS,Equity,0.31,112.35,"623,995.00","70,105,838.25","70,105,838.25",Financieros,2026082,US0258161092,New York Stock Exchange Inc.
BKNG,BOOKING HOLDINGS INC,Equity,0.31,"1,743.88","39,619.00","69,090,781.72","69,090,781.72",Consumo discrecional,BDRXDB4,US09857L1089,NASDAQ
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.31,110.88,"619,289.00","68,666,764.32","68,666,764.32",Industriales,2517382,US9113121068,New York Stock Exchange Inc.
HUM,HUMANA INC,Equity,0.31,279.82,"243,930.00","68,256,492.60","68,256,492.60",Cuidado de la Salud,2445063,US4448591028,New York Stock Exchange Inc.
SPG,SIMON PROPERTY GROUP REIT INC,Equity,0.30,179.79,"369,091.00","66,358,870.89","66,358,870.89",Bienes Raíces,2812452,US8288061091,New York Stock Exchange Inc.
LOW,LOWES COMPANIES INC,Equity,0.30,100.81,"658,046.00","66,337,617.26","66,337,617.26",Consumo discrecional,2536763,US5486611073,New York Stock Exchange Inc.
EW,EDWARDS LIFESCIENCES CORP,Equity,0.30,178.02,"372,440.00","66,301,768.80","66,301,768.80",Cuidado de la Salud,2567116,US28176E1082,New York Stock Exchange Inc.
