14-mar-2019,,,,,,,,,,,,,,,
iShares Core MSCI EAFE ETF,,,,,,,,,,,,,,,
Inception Date,18-oct-2012,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 58,729,535,154.33",,,,,,,,,,,,,,
Number of Securities,"2,476.00",,,,,,,,,,,,,,
Share,"964,800,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
BAS,BASF N,Equity,0.42,74.82,"3,276,382.00","245,153,597.45","245,153,597.45",Materiales,5086577,DE000BASF111,Xetra,Alemania,USD,EUR,0.88
OR,LOREAL SA,Equity,0.41,262.94,"905,160.00","238,005,187.18","238,005,187.18",Productos básicos de consumo,4057808,FR0000120321,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
RIO,RIO TINTO PLC,Equity,0.40,55.38,"4,247,457.00","235,210,691.48","235,210,691.48",Materiales,0718875,GB0007188757,London Stock Exchange,Reino Unido,USD,GBP,0.75
WBC,WESTPAC BANKING CORP,Equity,0.40,18.78,"12,338,687.00","231,732,016.84","231,732,016.84",Financieros,6076146,AU000000WBC1,Asx - All Markets,Australia,USD,AUD,1.42
CSL,CSL LTD,Equity,0.39,138.52,"1,640,510.00","227,243,362.35","227,243,362.35",Cuidado de la Salud,6185495,AU000000CSL8,Asx - All Markets,Australia,USD,AUD,1.42
ULVR,UNILEVER PLC,Equity,0.39,55.70,"4,038,373.00","224,919,683.99","224,919,683.99",Productos básicos de consumo,B10RZP7,GB00B10RZP78,London Stock Exchange,Reino Unido,USD,GBP,0.75
4502,TAKEDA PHARMACEUTICAL LTD,Equity,0.39,41.54,"5,399,080.00","224,285,090.23","224,285,090.23",Cuidado de la Salud,6870445,JP3463000004,Tokyo Stock Exchange,Japón,USD,JPY,111.72
ABI,ANHEUSER BUSCH INBEV NV,Equity,0.38,79.90,"2,758,324.00","220,390,655.81","220,390,655.81",Productos básicos de consumo,BYYHL23,BE0974293251,Nyse Euronext - Euronext Brussels,Bélgica,USD,EUR,0.88
LLOY,LLOYDS BANKING GROUP PLC,Equity,0.37,0.85,"256,579,645.00","217,439,805.69","217,439,805.69",Financieros,0870612,GB0008706128,London Stock Exchange,Reino Unido,USD,GBP,0.75
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Equity,0.37,5.06,"42,320,600.00","213,951,619.05","213,951,619.05",Financieros,6335171,JP3902900004,Tokyo Stock Exchange,Japón,USD,JPY,111.72
6758,SONY CORP,Equity,0.36,45.90,"4,598,800.00","211,087,060.51","211,087,060.51",Consumo discrecional,6821506,JP3435000009,Tokyo Stock Exchange,Japón,USD,JPY,111.72
6861,KEYENCE CORP,Equity,0.36,598.01,"351,200.00","210,022,126.75","210,022,126.75",Tecnología de la Información,6490995,JP3236200006,Tokyo Stock Exchange,Japón,USD,JPY,111.72
DTE,DEUTSCHE TELEKOM N AG,Equity,0.35,17.17,"11,854,381.00","203,557,924.17","203,557,924.17",Comunicación,5842359,DE0005557508,Xetra,Alemania,USD,EUR,0.88
RB.,RECKITT BENCKISER GROUP PLC,Equity,0.35,83.15,"2,426,805.00","201,792,670.10","201,792,670.10",Productos básicos de consumo,B24CGK7,GB00B24CGK77,London Stock Exchange,Reino Unido,USD,GBP,0.75
BNP,BNP PARIBAS SA,Equity,0.34,49.56,"4,050,244.00","200,725,750.78","200,725,750.78",Financieros,7309681,FR0000131104,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
PRU,PRUDENTIAL PLC,Equity,0.33,21.03,"9,266,611.00","194,910,471.76","194,910,471.76",Financieros,0709954,GB0007099541,London Stock Exchange,Reino Unido,USD,GBP,0.75
ANZ,AUSTRALIA AND NEW ZEALAND BANKING,Equity,0.33,18.80,"10,350,349.00","194,535,337.32","194,535,337.32",Financieros,6065586,AU000000ANZ3,Asx - All Markets,Australia,USD,AUD,1.42
AI,AIR LIQUIDE SA,Equity,0.33,127.12,"1,527,858.00","194,219,937.71","194,219,937.71",Materiales,B1YXBJ7,FR0000120073,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
IBE,IBERDROLA SA,Equity,0.33,8.59,"22,241,979.00","190,989,609.44","190,989,609.44",Servicios,B288C92,ES0144580Y14,Bolsa De Madrid,España,USD,EUR,0.88
DAI,DAIMLER AG,Equity,0.32,57.62,"3,266,981.00","188,240,297.48","188,240,297.48",Consumo discrecional,5529027,DE0007100000,Xetra,Alemania,USD,EUR,0.88
ENEL,ENEL,Equity,0.31,6.20,"28,930,236.00","179,480,568.85","179,480,568.85",Servicios,7144569,IT0003128367,Borsa Italiana,Italia,USD,EUR,0.88
VOD,VODAFONE GROUP PLC,Equity,0.31,1.86,"96,268,667.00","179,227,736.40","179,227,736.40",Comunicación,BH4HKS3,GB00BH4HKS39,London Stock Exchange,Reino Unido,USD,GBP,0.75
ZURN,ZURICH INSURANCE GROUP AG,Equity,0.31,331.52,"539,598.00","178,890,073.17","178,890,073.17",Financieros,5983816,CH0011075394,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
CS,AXA SA,Equity,0.31,25.40,"7,031,009.00","178,556,405.65","178,556,405.65",Financieros,7088429,FR0000120628,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
BHP,BHP GROUP PLC,Equity,0.30,22.98,"7,613,332.00","174,991,699.05","174,991,699.05",Materiales,BH0P3Z9,GB00BH0P3Z91,London Stock Exchange,Reino Unido,USD,GBP,0.75
INGA,ING GROEP NV,Equity,0.30,12.36,"14,145,305.00","174,776,821.21","174,776,821.21",Financieros,BZ57390,NL0011821202,Euronext Amsterdam,Holanda,USD,EUR,0.88
DG,VINCI SA,Equity,0.30,97.02,"1,787,775.00","173,441,383.15","173,441,383.15",Industriales,B1XH026,FR0000125486,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
NAB,NATIONAL AUSTRALIA BANK LTD,Equity,0.30,17.70,"9,795,651.00","173,389,620.07","173,389,620.07",Financieros,6624608,AU000000NAB4,Asx - All Markets,Australia,USD,AUD,1.42
BN,DANONE SA,Equity,0.30,77.67,"2,215,613.00","172,093,794.88","172,093,794.88",Productos básicos de consumo,B1Y9TB3,FR0000120644,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
UBSG,UBS GROUP AG,Equity,0.29,12.31,"13,904,969.00","171,104,004.02","171,104,004.02",Financieros,BRJL176,CH0244767585,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
8316,SUMITOMO MITSUI FINANCIAL GROUP IN,Equity,0.29,35.09,"4,800,600.00","168,442,105.26","168,442,105.26",Financieros,6563024,JP3890350006,Tokyo Stock Exchange,Japón,USD,JPY,111.72
GLEN,GLENCORE PLC,Equity,0.29,4.07,"41,252,812.00","167,813,087.43","167,813,087.43",Materiales,B4T3BW6,JE00B4T3BW64,London Stock Exchange,Reino Unido,USD,GBP,0.75
SAF,SAFRAN SA,Equity,0.28,132.72,"1,210,865.00","160,699,742.63","160,699,742.63",Industriales,B058TZ6,FR0000073272,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
ENI,ENI,Equity,0.27,17.57,"9,093,784.00","159,731,698.49","159,731,698.49",Energía,7145056,IT0003132476,Borsa Italiana,Italia,USD,EUR,0.88
REL,RELX PLC,Equity,0.27,22.19,"7,161,373.00","158,905,506.58","158,905,506.58",Industriales,B2B0DG9,GB00B2B0DG97,London Stock Exchange,Reino Unido,USD,GBP,0.75
7267,HONDA MOTOR LTD,Equity,0.27,27.06,"5,837,200.00","157,947,150.02","157,947,150.02",Consumo discrecional,6435145,JP3854600008,Tokyo Stock Exchange,Japón,USD,JPY,111.72
SU,SCHNEIDER ELECTRIC,Equity,0.27,78.93,"1,989,228.00","157,005,825.38","157,005,825.38",Industriales,4834108,FR0000121972,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
ADS,ADIDAS N AG,Equity,0.27,239.20,"654,447.00","156,545,829.72","156,545,829.72",Consumo discrecional,4031976,DE000A1EWWW0,Xetra,Alemania,USD,EUR,0.88
KER,KERING SA,Equity,0.26,559.12,"275,045.00","153,783,317.18","153,783,317.18",Consumo discrecional,5505072,FR0000121485,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
388,HONG KONG EXCHANGES AND CLEARING L,Equity,0.25,34.70,"4,221,000.00","146,472,321.48","146,472,321.48",Financieros,6267359,HK0388045442,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.85
9433,KDDI CORP,Equity,0.25,22.70,"6,409,400.00","145,490,855.71","145,490,855.71",Comunicación,6248990,JP3496400007,Tokyo Stock Exchange,Japón,USD,JPY,111.72
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA,Equity,0.25,5.97,"24,218,499.00","144,609,551.19","144,609,551.19",Financieros,5501906,ES0113211835,Bolsa De Madrid,España,USD,EUR,0.88
TEF,TELEFONICA SA,Equity,0.25,8.60,"16,699,373.00","143,641,227.44","143,641,227.44",Comunicación,5732524,ES0178430E18,Bolsa De Madrid,España,USD,EUR,0.88
NG.,NATIONAL GRID PLC,Equity,0.24,11.60,"12,148,201.00","140,951,937.82","140,951,937.82",Servicios,BDR05C0,GB00BDR05C01,London Stock Exchange,Reino Unido,USD,GBP,0.75
PHIA,KONINKLIJKE PHILIPS NV,Equity,0.24,40.41,"3,435,638.00","138,827,037.85","138,827,037.85",Cuidado de la Salud,5986622,NL0000009538,Euronext Amsterdam,Holanda,USD,EUR,0.88
CFR,COMPAGNIE FINANCIERE RICHEMONT SA,Equity,0.24,71.86,"1,928,220.00","138,562,317.29","138,562,317.29",Consumo discrecional,BCRWZ18,CH0210483332,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
4452,KAO CORP,Equity,0.24,76.75,"1,795,800.00","137,819,452.20","137,819,452.20",Productos básicos de consumo,6483809,JP3205800000,Tokyo Stock Exchange,Japón,USD,JPY,111.72
8058,MITSUBISHI CORP,Equity,0.23,28.01,"4,868,100.00","136,343,402.26","136,343,402.26",Industriales,6596785,JP3898400001,Tokyo Stock Exchange,Japón,USD,JPY,111.72
RI,PERNOD RICARD SA,Equity,0.23,178.05,"762,355.00","135,734,163.04","135,734,163.04",Productos básicos de consumo,4682329,FR0000120693,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
BARC,BARCLAYS PLC,Equity,0.23,2.19,"61,484,982.00","134,739,993.52","134,739,993.52",Financieros,3134865,GB0031348658,London Stock Exchange,Reino Unido,USD,GBP,0.75
ISP,INTESA SANPAOLO,Equity,0.23,2.45,"53,857,626.00","132,116,876.69","132,116,876.69",Financieros,4076836,IT0000072618,Borsa Italiana,Italia,USD,EUR,0.88
CPG,COMPASS GROUP PLC,Equity,0.22,22.99,"5,682,900.00","130,628,454.99","130,628,454.99",Consumo discrecional,BD6K457,GB00BD6K4575,London Stock Exchange,Reino Unido,USD,GBP,0.75
8411,MIZUHO FINANCIAL GROUP INC,Equity,0.22,1.53,"84,748,000.00","129,792,184.03","129,792,184.03",Financieros,6591014,JP3885780001,Tokyo Stock Exchange,Japón,USD,JPY,111.72
NOKIA,NOKIA,Equity,0.22,6.18,"20,560,740.00","127,092,114.50","127,092,114.50",Tecnología de la Información,5902941,FI0009000681,Nasdaq Omx Helsinki Ltd.,Finlandia,USD,EUR,0.88
ABBN,ABB LTD,Equity,0.22,19.14,"6,620,942.00","126,756,647.58","126,756,647.58",Industriales,7108899,CH0012221716,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
