26-mar-2019,,,,,,,,,,,
iShares U.S. Financial Services ETF,,,,,,,,,,,
Inception Date,12 jun 2000,,,,,,,,,,
Fund Holdings as of,26 mar 2019,,,,,,,,,,
Total Net Assets,"USD 1.323.436.772,91",,,,,,,,,,
Number of Securities,"120,00",,,,,,,,,,
Share,"10.700.000,00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Intercambio
AMTD,TD AMERITRADE HOLDING CORP,Equity,0.47,49.64,"125,852.00","6,247,293.28","6,247,293.28",Financieros,2983154,US87236Y1082,NASDAQ
HBAN,HUNTINGTON BANCSHARES INC,Equity,0.47,12.57,"489,125.00","6,148,301.25","6,148,301.25",Financieros,2445966,US4461501045,NASDAQ
CMA,COMERICA INC,Equity,0.41,72.84,"74,291.00","5,411,356.44","5,411,356.44",Financieros,2212870,US2003401070,New York Stock Exchange Inc.
SIVB,SVB FINANCIAL GROUP,Equity,0.41,219.89,"24,595.00","5,408,194.55","5,408,194.55",Financieros,2808053,US78486Q1013,NASDAQ
ETFC,E TRADE FINANCIAL CORP,Equity,0.40,45.64,"115,092.00","5,252,798.88","5,252,798.88",Financieros,2299011,US2692464017,NASDAQ
ALLY,ALLY FINANCIAL INC,Equity,0.38,26.55,"188,148.00","4,995,329.40","4,995,329.40",Financieros,B72XK05,US02005N1000,New York Stock Exchange Inc.
CBOE,CBOE GLOBAL MARKETS INC,Equity,0.38,94.77,"52,427.00","4,968,506.79","4,968,506.79",Financieros,B5834C5,US12503M1080,Cboe BZX formerly known as BATS
FNF,FIDELITY NATIONAL FINANCIAL INC,Equity,0.36,36.51,"128,648.00","4,696,938.48","4,696,938.48",Financieros,BNBRDD4,US31620R3030,New York Stock Exchange Inc.
NDAQ,NASDAQ INC,Equity,0.35,85.82,"54,105.00","4,643,291.10","4,643,291.10",Financieros,2965107,US6311031081,NASDAQ
RJF,RAYMOND JAMES INC,Equity,0.35,78.10,"59,314.00","4,632,423.40","4,632,423.40",Financieros,2718992,US7547301090,New York Stock Exchange Inc.
BEN,FRANKLIN RESOURCES INC,Equity,0.34,32.74,"138,082.00","4,520,804.68","4,520,804.68",Financieros,2350684,US3546131018,New York Stock Exchange Inc.
FDS,FACTSET RESEARCH SYSTEMS INC,Equity,0.33,246.30,"17,776.00","4,378,228.80","4,378,228.80",Financieros,2329770,US3030751057,New York Stock Exchange Inc.
MKTX,MARKETAXESS HOLDINGS INC,Equity,0.33,243.68,"17,606.00","4,290,230.08","4,290,230.08",Financieros,B03Q9D0,US57060D1081,NASDAQ
ZION,ZIONS BANCORPORATION,Equity,0.30,44.98,"86,986.00","3,912,630.28","3,912,630.28",Financieros,2989828,US9897011071,NASDAQ
IVZ,INVESCO LTD,Equity,0.27,19.28,"185,532.00","3,577,056.96","3,577,056.96",Financieros,B28XP76,BMG491BT1088,New York Stock Exchange Inc.
SBNY,SIGNATURE BANK,Equity,0.25,127.88,"25,742.00","3,291,886.96","3,291,886.96",Financieros,B00JQL9,US82669G1040,NASDAQ
EWBC,EAST WEST BANCORP INC,Equity,0.24,47.45,"67,732.00","3,213,883.40","3,213,883.40",Financieros,2487407,US27579R1041,NASDAQ
SEIC,SEI INVESTMENTS,Equity,0.23,50.90,"60,314.00","3,069,982.60","3,069,982.60",Financieros,2793610,US7841171033,NASDAQ
PBCT,PEOPLES UNITED FINANCIAL INC,Equity,0.22,16.29,"176,406.00","2,873,653.74","2,873,653.74",Financieros,B1W41J2,US7127041058,NASDAQ
CFR,CULLEN FROST BANKERS INC,Equity,0.22,96.69,"29,434.00","2,845,973.46","2,845,973.46",Financieros,2239556,US2298991090,New York Stock Exchange Inc.
LPLA,LPL FINANCIAL HOLDINGS INC,Equity,0.21,68.84,"39,736.00","2,735,426.24","2,735,426.24",Financieros,B75JX34,US50212V1008,NASDAQ
CBSH,COMMERCE BANCSHARES INC,Equity,0.20,57.50,"46,093.00","2,650,347.50","2,650,347.50",Financieros,2213204,US2005251036,NASDAQ
SNV,SYNOVUS FINANCIAL CORP,Equity,0.19,34.45,"74,310.00","2,559,979.50","2,559,979.50",Financieros,BMH4NJ8,US87161C5013,New York Stock Exchange Inc.
NYCB,NEW YORK COMMUNITY BANCORP INC,Equity,0.19,11.68,"218,107.00","2,547,489.76","2,547,489.76",Financieros,2711656,US6494451031,New York Stock Exchange Inc.
CACC,CREDIT ACCEPTANCE CORP,Equity,0.19,440.27,"5,669.00","2,495,890.63","2,495,890.63",Financieros,2232050,US2253101016,NASDAQ
AMG,AFFILIATED MANAGERS GROUP INC,Equity,0.19,101.86,"24,321.00","2,477,337.06","2,477,337.06",Financieros,2127899,US0082521081,New York Stock Exchange Inc.
BPOP,POPULAR INC,Equity,0.18,52.08,"46,648.00","2,429,427.84","2,429,427.84",Financieros,B86QM90,PR7331747001,NASDAQ
CIT,CIT GROUP INC,Equity,0.17,47.39,"47,020.00","2,228,277.80","2,228,277.80",Financieros,B4Z73G0,US1255818015,New York Stock Exchange Inc.
LAZ,LAZARD LTD CLASS A,Equity,0.17,36.17,"60,521.00","2,189,044.57","2,189,044.57",Financieros,B081VQ7,BMG540501027,New York Stock Exchange Inc.
MTG,MGIC INVESTMENT CORP,Equity,0.17,13.19,"165,720.00","2,185,846.80","2,185,846.80",Financieros,2548616,US5528481030,New York Stock Exchange Inc.
WBS,WEBSTER FINANCIAL CORP,Equity,0.16,50.44,"43,061.00","2,171,996.84","2,171,996.84",Financieros,2945143,US9478901096,New York Stock Exchange Inc.
EV,EATON VANCE COM NON VOTING CORP,Equity,0.16,40.16,"53,782.00","2,159,885.12","2,159,885.12",Financieros,2301057,US2782651036,New York Stock Exchange Inc.
PB,PROSPERITY BANCSHARES INC,Equity,0.16,68.60,"30,950.00","2,123,170.00","2,123,170.00",Financieros,2310257,US7436061052,New York Stock Exchange Inc.
PACW,PACWEST BANCORP,Equity,0.16,36.97,"56,338.00","2,082,815.86","2,082,815.86",Financieros,2619772,US6952631033,NASDAQ
FHN,FIRST HORIZON NATIONAL CORP,Equity,0.16,13.83,"148,443.00","2,052,966.69","2,052,966.69",Financieros,2341484,US3205171057,New York Stock Exchange Inc.
RDN,RADIAN GROUP INC,Equity,0.15,20.50,"99,509.00","2,039,934.50","2,039,934.50",Financieros,2173911,US7502361014,New York Stock Exchange Inc.
SLM,SLM CORP,Equity,0.15,9.92,"203,671.00","2,020,416.32","2,020,416.32",Financieros,2101967,US78442P1066,NASDAQ
ESNT,ESSENT GROUP LTD,Equity,0.15,43.26,"45,825.00","1,982,389.50","1,982,389.50",Financieros,BFWGXR8,BMG3198U1027,New York Stock Exchange Inc.
EQH,AXA EQUITABLE HOLDINGS INC,Equity,0.15,20.00,"97,838.00","1,956,760.00","1,956,760.00",Financieros,BYWV2Y6,US0545611057,New York Stock Exchange Inc.
JHG,JANUS HENDERSON GROUP PLC,Equity,0.15,24.86,"77,212.00","1,919,490.32","1,919,490.32",Financieros,BYPZJQ6,JE00BYPZJM29,New York Stock Exchange Inc.
PNFP,PINNACLE FINANCIAL PARTNERS INC,Equity,0.14,54.40,"33,966.00","1,847,750.40","1,847,750.40",Financieros,2675097,US72346Q1040,NASDAQ
FFIN,FIRST FINANCIAL BANKSHARES INC,Equity,0.14,56.36,"32,659.00","1,840,661.24","1,840,661.24",Financieros,2266026,US32020R1095,NASDAQ
IBKC,IBERIABANK CORP,Equity,0.14,71.11,"25,881.00","1,840,397.91","1,840,397.91",Financieros,2452450,US4508281080,NASDAQ
WAL,WESTERN ALLIANCE,Equity,0.14,40.87,"45,002.00","1,839,231.74","1,839,231.74",Financieros,B0CCGJ4,US9576381092,New York Stock Exchange Inc.
STL,STERLING BAN,Equity,0.14,18.20,"99,102.00","1,803,656.40","1,803,656.40",Financieros,BFNXVB8,US85917A1007,New York Stock Exchange Inc.
IBKR,INTERACTIVE BROKERS GROUP INC CLAS,Equity,0.13,50.67,"34,981.00","1,772,487.27","1,772,487.27",Financieros,B1WT4X2,US45841N1072,IEX
FCFS,FIRSTCASH INC,Equity,0.13,85.84,"20,287.00","1,741,436.08","1,741,436.08",Financieros,BZCG9B4,US33767D1054,NASDAQ
SF,STIFEL FINANCIAL CORP,Equity,0.13,51.78,"33,483.00","1,733,749.74","1,733,749.74",Financieros,2849234,US8606301021,New York Stock Exchange Inc.
WTFC,WINTRUST FINANCIAL CORP,Equity,0.13,65.68,"26,325.00","1,729,026.00","1,729,026.00",Financieros,2425258,US97650W1080,NASDAQ
EVR,EVERCORE INC CLASS A,Equity,0.13,90.44,"19,089.00","1,726,409.16","1,726,409.16",Financieros,B1BHXZ2,US29977A1051,New York Stock Exchange Inc.
UMPQ,UMPQUA HOLDINGS CORP,Equity,0.13,16.58,"102,626.00","1,701,539.08","1,701,539.08",Financieros,2484389,US9042141039,NASDAQ
UBSI,UNITED BANKSHARES INC,Equity,0.13,35.54,"47,531.00","1,689,251.74","1,689,251.74",Financieros,2905794,US9099071071,NASDAQ
FCNCA,FIRST CITIZENS BANCSHARES INC CLAS,Equity,0.12,398.78,"4,065.00","1,621,040.70","1,621,040.70",Financieros,2355582,US31946M1036,NASDAQ
ASB,ASSOCIATED BANCORP,Equity,0.12,21.09,"76,486.00","1,613,089.74","1,613,089.74",Financieros,2055718,US0454871056,New York Stock Exchange Inc.
OZK,BANK OZK,Equity,0.12,28.65,"56,294.00","1,612,823.10","1,612,823.10",Financieros,BZ56Q65,US06417N1037,NASDAQ
GBCI,GLACIER BANCORP INC,Equity,0.12,39.70,"40,410.00","1,604,277.00","1,604,277.00",Financieros,2370585,US37637Q1058,NASDAQ
FNB,FNB CORP,Equity,0.12,10.55,"151,114.00","1,594,252.70","1,594,252.70",Financieros,2041308,US3025201019,New York Stock Exchange Inc.
HWC,HANCOCK WHITNEY CORP,Equity,0.12,39.41,"39,869.00","1,571,237.29","1,571,237.29",Financieros,2415497,US4101201097,NASDAQ
BKU,BANKUNITED INC,Equity,0.12,33.38,"46,109.00","1,539,118.42","1,539,118.42",Financieros,B3NNTZ4,US06652K1034,New York Stock Exchange Inc.
TCF,TCF FINANCIAL CORP,Equity,0.12,20.10,"76,424.00","1,536,122.40","1,536,122.40",Financieros,2868455,US8722751026,New York Stock Exchange Inc.
BOH,BANK OF HAWAII CORP.,Equity,0.11,78.37,"19,301.00","1,512,619.37","1,512,619.37",Financieros,2074070,US0625401098,New York Stock Exchange Inc.
VLY,VALLEY NATIONAL,Equity,0.11,9.63,"154,402.00","1,486,891.26","1,486,891.26",Financieros,2935326,US9197941076,NASDAQ
CHFC,CHEMICAL FINANCIAL CORP,Equity,0.10,39.93,"33,544.00","1,339,411.92","1,339,411.92",Financieros,2190277,US1637311028,NASDAQ
GDOT,GREEN DOT CORP CLASS A,Equity,0.10,59.35,"22,339.00","1,325,819.65","1,325,819.65",Financieros,B3WNNP3,US39304D1028,New York Stock Exchange Inc.
UMBF,UMB FINANCIAL CORP,Equity,0.10,63.36,"20,628.00","1,306,990.08","1,306,990.08",Financieros,2918510,US9027881088,NASDAQ
FII,FEDERATED INVESTORS INC CLASS B,Equity,0.10,29.07,"44,931.00","1,306,144.17","1,306,144.17",Financieros,2246288,US3142111034,New York Stock Exchange Inc.
ISBC,INVESTORS BANCORP INC,Equity,0.10,11.83,"109,080.00","1,290,416.40","1,290,416.40",Financieros,BMHT4M3,US46146L1017,NASDAQ
TCBI,TEXAS CAPITAL BANCSHARES INC,Equity,0.10,54.34,"23,572.00","1,280,902.48","1,280,902.48",Financieros,2977209,US88224Q1076,NASDAQ
HOMB,HOME BANCSHARES INC,Equity,0.09,17.13,"72,817.00","1,247,355.21","1,247,355.21",Financieros,B17MTL9,US4368932004,NASDAQ
FULT,FULTON FINANCIAL CORP,Equity,0.09,15.41,"79,704.00","1,228,238.64","1,228,238.64",Financieros,2356585,US3602711000,NASDAQ
CATY,CATHAY GENERAL BANCORP,Equity,0.09,33.65,"35,712.00","1,201,708.80","1,201,708.80",Financieros,2264235,US1491501045,NASDAQ
BXS,BANCORPSOUTH,Equity,0.09,28.05,"42,560.00","1,193,808.00","1,193,808.00",Financieros,BF3BNF0,US05971J1025,New York Stock Exchange Inc.
NAVI,NAVIENT CORP,Equity,0.09,11.62,"102,090.00","1,186,285.80","1,186,285.80",Financieros,BLP5GX1,US63938C1080,NASDAQ
BOKF,BOK FINANCIAL CORP,Equity,0.09,79.94,"14,742.00","1,178,475.48","1,178,475.48",Financieros,2109091,US05561Q2012,NASDAQ
OMF,ONEMAIN HOLDINGS INC,Equity,0.08,31.58,"35,096.00","1,108,331.68","1,108,331.68",Financieros,BYSZB89,US68268W1036,New York Stock Exchange Inc.
SC,SANTANDER CONSUMER USA HOLDINGS IN,Equity,0.08,20.54,"53,962.00","1,108,379.48","1,108,379.48",Financieros,BJ0KZ85,US80283M1018,New York Stock Exchange Inc.
LM,LEGG MASON INC,Equity,0.08,27.51,"40,145.00","1,104,388.95","1,104,388.95",Financieros,2510615,US5249011058,New York Stock Exchange Inc.
WAFD,WASHINGTON FEDERAL INC,Equity,0.08,29.01,"37,677.00","1,093,009.77","1,093,009.77",Financieros,2941981,US9388241096,NASDAQ
FHB,FIRST HAWAIIAN INC,Equity,0.08,25.62,"42,003.00","1,076,116.86","1,076,116.86",Financieros,BDC6HG1,US32051X1081,NASDAQ
MORN,MORNINGSTAR INC,Equity,0.08,123.04,"8,514.00","1,047,562.56","1,047,562.56",Financieros,B081VR8,US6177001095,NASDAQ
TRMK,TRUSTMARK CORP,Equity,0.08,33.34,"30,328.00","1,011,135.52","1,011,135.52",Financieros,2340210,US8984021027,NASDAQ
IBOC,INTERNATIONAL BANCSHARES CORP,Equity,0.07,37.88,"25,502.00","966,015.76","966,015.76",Financieros,2243911,US4590441030,NASDAQ
CFFN,CAPITOL FEDERAL FINANCIAL INC,Equity,0.07,13.19,"66,329.00","874,879.51","874,879.51",Financieros,B3KWJV0,US14057J1016,NASDAQ
BGCP,BGC PARTNERS INC CLASS A,Equity,0.05,5.30,"125,370.00","664,461.00","664,461.00",Financieros,2528168,US05541T1016,NASDAQ
PRAA,PRA GROUP INC,Equity,0.04,26.97,"21,357.00","575,998.29","575,998.29",Financieros,BSHZ3P9,US69354N1063,NASDAQ
TFSL,TFS FINANCIAL CORP,Equity,0.03,16.34,"25,016.00","408,761.44","408,761.44",Financieros,B1W8J67,US87240R1077,NASDAQ
USD,USD CASH,Cash,-0.40,100.00,"-5,251,515.00","-5,251,515.40","-5,251,515.40",Efectivo y Derivados,--,--,--
