26-mar-2019,,,,,,,,,,,
iShares U.S. Technology ETF,,,,,,,,,,,
Inception Date,15 may 2000,,,,,,,,,,
Fund Holdings as of,26 mar 2019,,,,,,,,,,
Total Net Assets,"USD 4.065.132.677,60",,,,,,,,,,
Number of Securities,"152,00",,,,,,,,,,
Share,"21.400.000,00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Intercambio
VRSN,VERISIGN INC,Equity,0.34,182.97,"74,965.00","13,716,346.05","13,716,346.05",Tecnología de la Información,2142922,US92343E1029,NASDAQ
CERN,CERNER CORP,Equity,0.32,56.71,"230,793.00","13,088,271.03","13,088,271.03",Cuidado de la Salud,2185284,US1567821046,NASDAQ
SPLK,SPLUNK INC,Equity,0.32,124.28,"105,162.00","13,069,533.36","13,069,533.36",Tecnología de la Información,B424494,US8486371045,NASDAQ
CDNS,CADENCE DESIGN SYSTEMS INC,Equity,0.30,62.30,"199,527.00","12,430,532.10","12,430,532.10",Tecnología de la Información,2302232,US1273871087,NASDAQ
DXC,DXC TECHNOLOGY,Equity,0.30,64.83,"190,839.00","12,372,092.37","12,372,092.37",Tecnología de la Información,BYXD7B3,US23355L1061,New York Stock Exchange Inc.
SNPS,SYNOPSYS INC,Equity,0.29,112.40,"106,456.00","11,965,654.40","11,965,654.40",Tecnología de la Información,2867719,US8716071076,NASDAQ
NTAP,NETAPP INC,Equity,0.29,67.63,"175,657.00","11,879,682.91","11,879,682.91",Tecnología de la Información,2630643,US64110D1046,NASDAQ
IAC,IAC INTERACTIVE,Equity,0.29,214.23,"55,284.00","11,843,491.32","11,843,491.32",Comunicación,B0F0F09,US44919P5089,NASDAQ
ANET,ARISTA NETWORKS INC,Equity,0.28,309.80,"37,160.00","11,512,168.00","11,512,168.00",Tecnología de la Información,BN33VM5,US0404131064,New York Stock Exchange Inc.
XTSLA,BLK CSH FND TREASURY SL AGENCY,Money Market,0.28,1.00,"11,275,523.00","11,275,523.16","11,275,523.16",Efectivo y Derivados,--,US0669224778,--
VEEV,VEEVA SYSTEMS INC CLASS A,Equity,0.27,125.57,"88,986.00","11,173,972.02","11,173,972.02",Cuidado de la Salud,BFH3N85,US9224751084,New York Stock Exchange Inc.
ANSS,ANSYS INC,Equity,0.26,179.69,"59,566.00","10,703,414.54","10,703,414.54",Tecnología de la Información,2045623,US03662Q1058,NASDAQ
MXIM,MAXIM INTEGRATED PRODUCTS INC,Equity,0.26,54.34,"194,374.00","10,562,283.16","10,562,283.16",Tecnología de la Información,2573760,US57772K1016,NASDAQ
SYMC,SYMANTEC CORP,Equity,0.26,23.23,"454,472.00","10,557,384.56","10,557,384.56",Tecnología de la Información,2861078,US8715031089,NASDAQ
CDW,CDW CORP,Equity,0.25,95.70,"106,630.00","10,204,491.00","10,204,491.00",Tecnología de la Información,BBM5MD6,US12514G1085,NASDAQ
SWKS,SKYWORKS SOLUTIONS INC,Equity,0.25,82.12,"123,739.00","10,161,446.68","10,161,446.68",Tecnología de la Información,2961053,US83088M1027,NASDAQ
VMW,VMWARE INC CLASS A,Equity,0.24,181.44,"53,896.00","9,778,890.24","9,778,890.24",Tecnología de la Información,B23SN61,US9285634021,New York Stock Exchange Inc.
WDC,WESTERN DIGITAL CORP,Equity,0.24,47.08,"206,752.00","9,733,884.16","9,733,884.16",Tecnología de la Información,2954699,US9581021055,NASDAQ
SSNC,SS AND C TECHNOLOGIES HOLDINGS INC,Equity,0.23,62.42,"153,300.00","9,568,986.00","9,568,986.00",Tecnología de la Información,B58YSC6,US78467J1007,NASDAQ
IT,GARTNER INC,Equity,0.23,148.04,"63,896.00","9,459,163.84","9,459,163.84",Tecnología de la Información,2372763,US3666511072,New York Stock Exchange Inc.
GDDY,GODADDY INC CLASS A,Equity,0.22,75.84,"120,205.00","9,116,347.20","9,116,347.20",Tecnología de la Información,BWFRFC6,US3802371076,New York Stock Exchange Inc.
TWLO,TWILIO INC CLASS A,Equity,0.22,131.87,"67,833.00","8,945,137.71","8,945,137.71",Tecnología de la Información,BD6P5Q0,US90138F1021,New York Stock Exchange Inc.
