26-mar-2019,,,,,,,,,,,
iShares U.S. Financials ETF,,,,,,,,,,,
Inception Date,22 may 2000,,,,,,,,,,
Fund Holdings as of,26 mar 2019,,,,,,,,,,
Total Net Assets,"USD 1.712.620.415,32",,,,,,,,,,
Number of Securities,"284,00",,,,,,,,,,
Share,"14.600.000,00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Intercambio
PSA,PUBLIC STORAGE REIT,Equity,0.66,220.22,"50,279.00","11,072,441.38","11,072,441.38",Bienes Raíces,2852533,US74460D1090,New York Stock Exchange Inc.
ALL,ALLSTATE CORP,Equity,0.62,94.10,"111,229.00","10,466,648.90","10,466,648.90",Financieros,2019952,US0200021014,New York Stock Exchange Inc.
WELL,WELLTOWER INC,Equity,0.60,78.72,"129,458.00","10,190,933.76","10,190,933.76",Bienes Raíces,BYVYHH4,US95040Q1040,New York Stock Exchange Inc.
MCO,MOODYS CORP,Equity,0.59,177.91,"55,679.00","9,905,850.89","9,905,850.89",Financieros,2252058,US6153691059,New York Stock Exchange Inc.
XTSLA,BLK CSH FND TREASURY SL AGENCY,Money Market,0.57,1.00,"9,560,482.00","9,560,482.04","9,560,482.04",Efectivo y Derivados,--,US0669224778,--
AVB,AVALONBAY COMMUNITIES REIT INC,Equity,0.55,200.87,"46,410.00","9,322,376.70","9,322,376.70",Bienes Raíces,2131179,US0534841012,New York Stock Exchange Inc.
EQR,EQUITY RESIDENTIAL REIT,Equity,0.55,75.14,"123,953.00","9,313,828.42","9,313,828.42",Bienes Raíces,2319157,US29476L1070,New York Stock Exchange Inc.
STI,SUNTRUST BANKS INC,Equity,0.51,57.71,"148,515.00","8,570,800.65","8,570,800.65",Financieros,2860990,US8679141031,New York Stock Exchange Inc.
STT,STATE STREET CORP,Equity,0.50,66.18,"126,871.00","8,396,322.78","8,396,322.78",Financieros,2842040,US8574771031,New York Stock Exchange Inc.
DLR,DIGITAL REALTY TRUST REIT INC,Equity,0.49,118.89,"69,632.00","8,278,548.48","8,278,548.48",Bienes Raíces,B03GQS4,US2538681030,New York Stock Exchange Inc.
TROW,T ROWE PRICE GROUP INC,Equity,0.47,99.89,"79,162.00","7,907,492.18","7,907,492.18",Financieros,2702337,US74144T1088,NASDAQ
VTR,VENTAS REIT INC,Equity,0.46,65.21,"119,346.00","7,782,552.66","7,782,552.66",Bienes Raíces,2927925,US92276F1003,New York Stock Exchange Inc.
DFS,DISCOVER FINANCIAL SERVICES,Equity,0.46,70.58,"110,030.00","7,765,917.40","7,765,917.40",Financieros,B1YLC43,US2547091080,New York Stock Exchange Inc.
WLTW,WILLIS TOWERS WATSON PLC,Equity,0.45,177.54,"43,258.00","7,680,025.32","7,680,025.32",Financieros,BDB6Q21,IE00BDB6Q211,NASDAQ
O,REALTY INCOME REIT CORP,Equity,0.45,73.98,"101,792.00","7,530,572.16","7,530,572.16",Bienes Raíces,2724193,US7561091049,New York Stock Exchange Inc.
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Equity,0.44,195.00,"37,724.00","7,356,180.00","7,356,180.00",Bienes Raíces,BZ6TS23,US78410G1040,NASDAQ
MTB,M&T BANK CORP,Equity,0.43,155.58,"46,416.00","7,221,401.28","7,221,401.28",Financieros,2340168,US55261F1049,New York Stock Exchange Inc.
SYF,SYNCHRONY FINANCIAL,Equity,0.41,31.77,"218,817.00","6,951,816.09","6,951,816.09",Financieros,BP96PS6,US87165B1035,New York Stock Exchange Inc.
BXP,BOSTON PROPERTIES REIT INC,Equity,0.41,132.77,"51,768.00","6,873,237.36","6,873,237.36",Bienes Raíces,2019479,US1011211018,New York Stock Exchange Inc.
NTRS,NORTHERN TRUST CORP,Equity,0.39,89.51,"73,182.00","6,550,520.82","6,550,520.82",Financieros,2648668,US6658591044,NASDAQ
FITB,FIFTH THIRD BANCORP,Equity,0.38,24.98,"259,164.00","6,473,916.72","6,473,916.72",Financieros,2336747,US3167731005,NASDAQ
ESS,ESSEX PROPERTY TRUST REIT INC,Equity,0.38,292.86,"22,014.00","6,447,020.04","6,447,020.04",Bienes Raíces,2316619,US2971781057,New York Stock Exchange Inc.
WY,WEYERHAEUSER REIT,Equity,0.38,25.47,"250,127.00","6,370,734.69","6,370,734.69",Bienes Raíces,2958936,US9621661043,New York Stock Exchange Inc.
HIG,HARTFORD FINANCIAL SERVICES GROUP,Equity,0.35,49.09,"120,445.00","5,912,645.05","5,912,645.05",Financieros,2476193,US4165151048,New York Stock Exchange Inc.
AMP,AMERIPRISE FINANCE INC,Equity,0.34,125.87,"45,397.00","5,714,120.39","5,714,120.39",Financieros,B0J7D57,US03076C1062,New York Stock Exchange Inc.
CSGP,COSTAR GROUP INC,Equity,0.34,463.94,"12,205.00","5,662,387.70","5,662,387.70",Industriales,2262864,US22160N1090,NASDAQ
FRC,FIRST REPUBLIC BANK,Equity,0.33,100.63,"55,209.00","5,555,681.67","5,555,681.67",Financieros,B4WHY15,US33616C1009,New York Stock Exchange Inc.
MSCI,MSCI INC,Equity,0.33,194.44,"28,254.00","5,493,707.76","5,493,707.76",Financieros,B2972D2,US55354G1004,New York Stock Exchange Inc.
ARE,ALEXANDRIA REAL ESTATE EQUITIES RE,Equity,0.32,143.83,"37,772.00","5,432,746.76","5,432,746.76",Bienes Raíces,2009210,US0152711091,New York Stock Exchange Inc.
KEY,KEYCORP,Equity,0.31,15.41,"338,002.00","5,208,610.82","5,208,610.82",Financieros,2490911,US4932671088,New York Stock Exchange Inc.
CBRE,CBRE GROUP INC CLASS A,Equity,0.30,48.82,"104,651.00","5,109,061.82","5,109,061.82",Bienes Raíces,B6WVMH3,US12504L1098,New York Stock Exchange Inc.
HCP,HCP REIT INC,Equity,0.30,31.85,"160,081.00","5,098,579.85","5,098,579.85",Bienes Raíces,2417578,US40414L1098,New York Stock Exchange Inc.
CFG,CITIZENS FINANCIAL GROUP INC,Equity,0.29,32.22,"154,256.00","4,970,128.32","4,970,128.32",Financieros,BQRX1X3,US1746101054,New York Stock Exchange Inc.
AJG,ARTHUR J GALLAGHER,Equity,0.29,78.69,"61,672.00","4,852,969.68","4,852,969.68",Financieros,2359506,US3635761097,New York Stock Exchange Inc.
NLY,ANNALY CAPITAL MANAGEMENT REIT INC,Equity,0.28,10.26,"469,103.00","4,812,996.78","4,812,996.78",Financieros,2113456,US0357104092,New York Stock Exchange Inc.
RF,REGIONS FINANCIAL CORP,Equity,0.28,13.93,"340,997.00","4,750,088.21","4,750,088.21",Financieros,B01R311,US7591EP1005,New York Stock Exchange Inc.
HST,HOST HOTELS & RESORTS REIT INC,Equity,0.28,19.09,"248,106.00","4,736,343.54","4,736,343.54",Bienes Raíces,2567503,US44107P1049,New York Stock Exchange Inc.
MKL,MARKEL CORP,Equity,0.27,980.27,"4,654.00","4,562,176.58","4,562,176.58",Financieros,2566436,US5705351048,New York Stock Exchange Inc.
AMTD,TD AMERITRADE HOLDING CORP,Equity,0.27,49.64,"90,250.00","4,480,010.00","4,480,010.00",Financieros,2983154,US87236Y1082,NASDAQ
HBAN,HUNTINGTON BANCSHARES INC,Equity,0.26,12.57,"350,744.00","4,408,852.08","4,408,852.08",Financieros,2445966,US4461501045,NASDAQ
L,LOEWS CORP,Equity,0.26,47.57,"91,785.00","4,366,212.45","4,366,212.45",Financieros,2523022,US5404241086,New York Stock Exchange Inc.
PFG,PRINCIPAL FINANCIAL GROUP INC,Equity,0.26,50.15,"86,725.00","4,349,258.75","4,349,258.75",Financieros,2803014,US74251V1026,NASDAQ
EXR,EXTRA SPACE STORAGE REIT INC,Equity,0.26,101.79,"42,654.00","4,341,750.66","4,341,750.66",Bienes Raíces,B02HWR9,US30225T1025,New York Stock Exchange Inc.
CINF,CINCINNATI FINANCIAL CORP,Equity,0.26,85.04,"50,774.00","4,317,820.96","4,317,820.96",Financieros,2196888,US1720621010,NASDAQ
ACGL,ARCH CAPITAL GROUP LTD,Equity,0.26,31.96,"134,848.00","4,309,742.08","4,309,742.08",Financieros,2740542,BMG0450A1053,NASDAQ
WPC,W. P. CAREY REIT INC,Equity,0.25,78.88,"53,968.00","4,256,995.84","4,256,995.84",Bienes Raíces,B826YT8,US92936U1097,New York Stock Exchange Inc.
UDR,UDR REIT INC,Equity,0.25,45.42,"92,344.00","4,194,264.48","4,194,264.48",Bienes Raíces,2727910,US9026531049,New York Stock Exchange Inc.
MAA,MID AMERICA APARTMENT COMMUNITIES,Equity,0.25,109.27,"38,163.00","4,170,071.01","4,170,071.01",Bienes Raíces,2589132,US59522J1034,New York Stock Exchange Inc.
LNC,LINCOLN NATIONAL CORP,Equity,0.24,58.07,"68,448.00","3,974,775.36","3,974,775.36",Financieros,2516378,US5341871094,New York Stock Exchange Inc.
VNO,VORNADO REALTY TRUST REIT,Equity,0.23,67.22,"58,093.00","3,905,011.46","3,905,011.46",Bienes Raíces,2933632,US9290421091,New York Stock Exchange Inc.
CMA,COMERICA INC,Equity,0.23,72.84,"53,275.00","3,880,551.00","3,880,551.00",Financieros,2212870,US2003401070,New York Stock Exchange Inc.
SIVB,SVB FINANCIAL GROUP,Equity,0.23,219.89,"17,636.00","3,877,980.04","3,877,980.04",Financieros,2808053,US78486Q1013,NASDAQ
ETFC,E TRADE FINANCIAL CORP,Equity,0.22,45.64,"82,526.00","3,766,486.64","3,766,486.64",Financieros,2299011,US2692464017,NASDAQ
REG,REGENCY CENTERS REIT CORP,Equity,0.22,67.11,"56,124.00","3,766,481.64","3,766,481.64",Bienes Raíces,2726177,US7588491032,NASDAQ
DRE,DUKE REALTY REIT CORP,Equity,0.22,30.77,"120,353.00","3,703,261.81","3,703,261.81",Bienes Raíces,2284084,US2644115055,New York Stock Exchange Inc.
ALLY,ALLY FINANCIAL INC,Equity,0.21,26.55,"134,897.00","3,581,515.35","3,581,515.35",Financieros,B72XK05,US02005N1000,New York Stock Exchange Inc.
CBOE,CBOE GLOBAL MARKETS INC,Equity,0.21,94.77,"37,584.00","3,561,835.68","3,561,835.68",Financieros,B5834C5,US12503M1080,Cboe BZX formerly known as BATS
ELS,EQUITY LIFESTYLE PROPERTIES REIT I,Equity,0.21,115.14,"30,110.00","3,466,865.40","3,466,865.40",Bienes Raíces,2563125,US29472R1086,New York Stock Exchange Inc.
SUI,SUN COMMUNITIES REIT INC,Equity,0.20,118.88,"28,930.00","3,439,198.40","3,439,198.40",Bienes Raíces,2860257,US8666741041,New York Stock Exchange Inc.
FRT,FEDERAL REALTY INVESTMENT TRUST RE,Equity,0.20,137.32,"24,904.00","3,419,817.28","3,419,817.28",Bienes Raíces,2333931,US3137472060,New York Stock Exchange Inc.
IRM,IRON MOUNTAIN INC,Equity,0.20,35.53,"95,895.00","3,407,149.35","3,407,149.35",Bienes Raíces,BVFTF03,US46284V1017,New York Stock Exchange Inc.
FNF,FIDELITY NATIONAL FINANCIAL INC,Equity,0.20,36.51,"92,186.00","3,365,710.86","3,365,710.86",Financieros,BNBRDD4,US31620R3030,New York Stock Exchange Inc.
NDAQ,NASDAQ INC,Equity,0.20,85.82,"38,769.00","3,327,155.58","3,327,155.58",Financieros,2965107,US6311031081,NASDAQ
RJF,RAYMOND JAMES INC,Equity,0.20,78.10,"42,512.00","3,320,187.20","3,320,187.20",Financieros,2718992,US7547301090,New York Stock Exchange Inc.
CPT,CAMDEN PROPERTY TRUST REIT,Equity,0.19,101.48,"32,360.00","3,283,892.80","3,283,892.80",Bienes Raíces,2166320,US1331311027,New York Stock Exchange Inc.
BEN,FRANKLIN RESOURCES INC,Equity,0.19,32.74,"99,258.00","3,249,706.92","3,249,706.92",Financieros,2350684,US3546131018,New York Stock Exchange Inc.
AGNC,AGNC INVESTMENT REIT CORP,Equity,0.19,18.09,"179,572.00","3,248,457.48","3,248,457.48",Financieros,BYYHJL8,US00123Q1040,NASDAQ
FDS,FACTSET RESEARCH SYSTEMS INC,Equity,0.19,246.30,"12,732.00","3,135,891.60","3,135,891.60",Financieros,2329770,US3030751057,New York Stock Exchange Inc.
MKTX,MARKETAXESS HOLDINGS INC,Equity,0.18,243.68,"12,610.00","3,072,804.80","3,072,804.80",Financieros,B03Q9D0,US57060D1081,NASDAQ
RGA,REINSURANCE GROUP OF AMERICA INC,Equity,0.18,140.78,"21,558.00","3,034,935.24","3,034,935.24",Financieros,2731193,US7593516047,New York Stock Exchange Inc.
NNN,NATIONAL RETAIL PROPERTIES REIT IN,Equity,0.18,54.96,"54,073.00","2,971,852.08","2,971,852.08",Bienes Raíces,2211811,US6374171063,New York Stock Exchange Inc.
Y,ALLEGHANY CORP,Equity,0.17,606.25,"4,840.00","2,934,250.00","2,934,250.00",Financieros,2016801,US0171751003,New York Stock Exchange Inc.
RE,EVEREST RE GROUP LTD,Equity,0.17,215.48,"13,615.00","2,933,760.20","2,933,760.20",Financieros,2556868,BMG3223R1088,New York Stock Exchange Inc.
ZION,ZIONS BANCORPORATION,Equity,0.17,44.98,"62,312.00","2,802,793.76","2,802,793.76",Financieros,2989828,US9897011071,NASDAQ
WRB,WR BERKLEY CORP,Equity,0.16,84.10,"33,082.00","2,782,196.20","2,782,196.20",Financieros,2093644,US0844231029,New York Stock Exchange Inc.
TMK,TORCHMARK CORP,Equity,0.16,81.87,"33,944.00","2,778,995.28","2,778,995.28",Financieros,2896713,US8910271043,New York Stock Exchange Inc.
VER,VEREIT INC,Equity,0.16,8.50,"323,638.00","2,750,923.00","2,750,923.00",Bienes Raíces,BYVVTJ1,US92339V1008,New York Stock Exchange Inc.
VICI,VICI PPTYS INC,Equity,0.16,22.09,"120,528.00","2,662,463.52","2,662,463.52",Bienes Raíces,BYWH073,US9256521090,New York Stock Exchange Inc.
KIM,KIMCO REALTY REIT CORP,Equity,0.15,18.57,"140,986.00","2,618,110.02","2,618,110.02",Bienes Raíces,2491594,US49446R1095,New York Stock Exchange Inc.
KRC,KILROY REALTY REIT CORP,Equity,0.15,76.48,"33,755.00","2,581,582.40","2,581,582.40",Bienes Raíces,2495529,US49427F1084,New York Stock Exchange Inc.
OHI,OMEGA HEALTHCARE INVESTORS REIT IN,Equity,0.15,37.69,"68,265.00","2,572,907.85","2,572,907.85",Bienes Raíces,2043274,US6819361006,New York Stock Exchange Inc.
IVZ,INVESCO LTD,Equity,0.15,19.28,"132,783.00","2,560,056.24","2,560,056.24",Financieros,B28XP76,BMG491BT1088,New York Stock Exchange Inc.
AIV,APARTMENT INVESTMENT AND MANAGEMEN,Equity,0.15,50.41,"50,570.00","2,549,233.70","2,549,233.70",Bienes Raíces,BJLNBG3,US03748R7540,New York Stock Exchange Inc.
GLPI,GAMING AND LEISURE PROPERTIES REIT,Equity,0.15,37.78,"67,444.00","2,548,034.32","2,548,034.32",Bienes Raíces,BFPK4S5,US36467J1088,NASDAQ
SLG,SL GREEN REALTY REIT CORP,Equity,0.15,90.00,"27,974.00","2,517,660.00","2,517,660.00",Bienes Raíces,2096847,US78440X1019,New York Stock Exchange Inc.
VOYA,VOYA FINANCIAL INC,Equity,0.15,49.31,"50,486.00","2,489,464.66","2,489,464.66",Financieros,BKWQ2N2,US9290891004,New York Stock Exchange Inc.
LPT,LIBERTY PROPERTY REIT TRUST,Equity,0.14,49.04,"49,483.00","2,426,646.32","2,426,646.32",Bienes Raíces,2513681,US5311721048,New York Stock Exchange Inc.
UNM,UNUM,Equity,0.14,33.73,"71,911.00","2,425,558.03","2,425,558.03",Financieros,2433842,US91529Y1064,New York Stock Exchange Inc.
INVH,INVITATION HOMES INC,Equity,0.14,24.33,"99,392.00","2,418,207.36","2,418,207.36",Bienes Raíces,BD81GW9,US46187W1071,New York Stock Exchange Inc.
MPW,MEDICAL PROPERTIES TRUST REIT INC,Equity,0.14,18.66,"127,339.00","2,376,145.74","2,376,145.74",Bienes Raíces,B0JL5L9,US58463J3041,New York Stock Exchange Inc.
SBNY,SIGNATURE BANK,Equity,0.14,127.88,"18,420.00","2,355,549.60","2,355,549.60",Financieros,B00JQL9,US82669G1040,NASDAQ
AFG,AMERICAN FINANCIAL GROUP INC,Equity,0.14,96.06,"24,215.00","2,326,092.90","2,326,092.90",Financieros,2134532,US0259321042,New York Stock Exchange Inc.
JLL,JONES LANG LASALLE INC,Equity,0.14,151.48,"15,260.00","2,311,584.80","2,311,584.80",Bienes Raíces,2040640,US48020Q1076,New York Stock Exchange Inc.
EWBC,EAST WEST BANCORP INC,Equity,0.14,47.45,"48,500.00","2,301,325.00","2,301,325.00",Financieros,2487407,US27579R1041,NASDAQ
NRZ,NEW RESIDENTIAL INVESTMENT REIT CO,Equity,0.14,16.77,"136,739.00","2,293,113.03","2,293,113.03",Financieros,BRJ9GW0,US64828T2015,New York Stock Exchange Inc.
BRO,BROWN & BROWN INC,Equity,0.13,29.21,"77,786.00","2,272,129.06","2,272,129.06",Financieros,2692687,US1152361010,New York Stock Exchange Inc.
STOR,STORE CAPITAL CORP,Equity,0.13,33.97,"65,861.00","2,237,298.17","2,237,298.17",Bienes Raíces,BSKRKJ5,US8621211007,New York Stock Exchange Inc.
LAMR,LAMAR ADVERTISING COMPANY CLAS,Equity,0.13,77.99,"28,489.00","2,221,857.11","2,221,857.11",Bienes Raíces,BSPHGN6,US5128161099,NASDAQ
SEIC,SEI INVESTMENTS,Equity,0.13,50.90,"43,257.00","2,201,781.30","2,201,781.30",Financieros,2793610,US7841171033,NASDAQ
DEI,DOUGLAS EMMETT REIT INC,Equity,0.13,40.74,"54,006.00","2,200,204.44","2,200,204.44",Bienes Raíces,B1G3M58,US25960P1093,New York Stock Exchange Inc.
ACC,AMERICAN CAMPUS COMMUNITIES REIT I,Equity,0.13,47.42,"45,938.00","2,178,379.96","2,178,379.96",Bienes Raíces,B02H871,US0248351001,New York Stock Exchange Inc.
PK,PARK HOTELS RESORTS INC,Equity,0.12,31.32,"67,179.00","2,104,046.28","2,104,046.28",Bienes Raíces,BYVMVV0,US7005171050,New York Stock Exchange Inc.
STWD,STARWOOD PROPERTY TRUST REIT INC,Equity,0.12,22.71,"92,315.00","2,096,473.65","2,096,473.65",Financieros,B3PQ520,US85571B1052,New York Stock Exchange Inc.
PBCT,PEOPLES UNITED FINANCIAL INC,Equity,0.12,16.29,"126,453.00","2,059,919.37","2,059,919.37",Financieros,B1W41J2,US7127041058,NASDAQ
CFR,CULLEN FROST BANKERS INC,Equity,0.12,96.69,"21,104.00","2,040,545.76","2,040,545.76",Financieros,2239556,US2298991090,New York Stock Exchange Inc.
RNR,RENAISSANCERE HOLDING LTD,Equity,0.12,143.88,"14,089.00","2,027,125.32","2,027,125.32",Financieros,2728429,BMG7496G1033,New York Stock Exchange Inc.
CUBE,CUBESMART REIT,Equity,0.12,32.30,"62,425.00","2,016,327.50","2,016,327.50",Bienes Raíces,B6SW913,US2296631094,New York Stock Exchange Inc.
HTA,HEALTHCARE TRUST OF AMERICA REIT I,Equity,0.12,28.83,"69,034.00","1,990,250.22","1,990,250.22",Bienes Raíces,BT9QF28,US42225P5017,New York Stock Exchange Inc.
ORI,OLD REPUBLIC INTERNATIONAL CORP,Equity,0.12,20.73,"95,276.00","1,975,071.48","1,975,071.48",Financieros,2659109,US6802231042,New York Stock Exchange Inc.
AMH,AMERICAN HOMES RENT REIT CLASS A,Equity,0.12,22.78,"86,690.00","1,974,798.20","1,974,798.20",Bienes Raíces,BCF5RR9,US02665T3068,New York Stock Exchange Inc.
LPLA,LPL FINANCIAL HOLDINGS INC,Equity,0.12,68.84,"28,407.00","1,955,537.88","1,955,537.88",Financieros,B75JX34,US50212V1008,NASDAQ
FAF,FIRST AMERICAN FINANCIAL CORP,Equity,0.12,51.13,"38,210.00","1,953,677.30","1,953,677.30",Financieros,B4NFPK4,US31847R1023,New York Stock Exchange Inc.
EPR,EPR PROPERTIES REIT,Equity,0.12,77.32,"25,212.00","1,949,391.84","1,949,391.84",Bienes Raíces,B8XXZP1,US26884U1097,New York Stock Exchange Inc.
CBSH,COMMERCE BANCSHARES INC,Equity,0.11,57.50,"32,952.00","1,894,740.00","1,894,740.00",Financieros,2213204,US2005251036,NASDAQ
CONE,CYRUSONE REIT INC,Equity,0.11,51.97,"36,440.00","1,893,786.80","1,893,786.80",Bienes Raíces,B7YRLH9,US23283R1005,NASDAQ
NYCB,NEW YORK COMMUNITY BANCORP INC,Equity,0.11,11.68,"157,286.00","1,837,100.48","1,837,100.48",Financieros,2711656,US6494451031,New York Stock Exchange Inc.
BRX,BRIXMOR PROPERTY GROUP REIT INC,Equity,0.11,18.37,"99,893.00","1,835,034.41","1,835,034.41",Bienes Raíces,BFTDJL8,US11120U1051,New York Stock Exchange Inc.
SNV,SYNOVUS FINANCIAL CORP,Equity,0.11,34.45,"53,124.00","1,830,121.80","1,830,121.80",Financieros,BMH4NJ8,US87161C5013,New York Stock Exchange Inc.
HPP,HUDSON PACIFIC PROPERTIES REIT INC,Equity,0.11,34.72,"51,703.00","1,795,128.16","1,795,128.16",Bienes Raíces,B64B9P8,US4440971095,New York Stock Exchange Inc.
CACC,CREDIT ACCEPTANCE CORP,Equity,0.11,440.27,"4,069.00","1,791,458.63","1,791,458.63",Financieros,2232050,US2253101016,NASDAQ
AMG,AFFILIATED MANAGERS GROUP INC,Equity,0.11,101.86,"17,436.00","1,776,030.96","1,776,030.96",Financieros,2127899,US0082521081,New York Stock Exchange Inc.
BPOP,POPULAR INC,Equity,0.10,52.08,"33,598.00","1,749,783.84","1,749,783.84",Financieros,B86QM90,PR7331747001,NASDAQ
