14-mar-2019,,,,,,,,,,,
iShares Russell 1000 Value ETF,,,,,,,,,,,
Inception Date,22-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 38,173,656,092.63",,,,,,,,,,
Number of Securities,722.00,,,,,,,,,,
Share,"306,600,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
CVS,CVS HEALTH CORP,Equity,0.50,55.88,"3,431,695.00","191,763,116.60","191,763,116.60",Cuidado de la Salud,2577609,US1266501006,New York Stock Exchange Inc.
DUK,DUKE ENERGY CORP,Equity,0.49,90.36,"2,061,963.00","186,318,976.68","186,318,976.68",Servicios,B7VD3F2,US26441C2044,New York Stock Exchange Inc.
CB,CHUBB LTD,Equity,0.47,135.40,"1,325,717.00","179,502,081.80","179,502,081.80",Financieros,B3BQMF6,CH0044328745,New York Stock Exchange Inc.
BDX,BECTON DICKINSON,Equity,0.46,252.26,"696,284.00","175,644,601.84","175,644,601.84",Cuidado de la Salud,2087807,US0758871091,New York Stock Exchange Inc.
PNC,PNC FINANCIAL SERVICES GROUP INC,Equity,0.46,129.60,"1,341,764.00","173,892,614.40","173,892,614.40",Financieros,2692665,US6934751057,New York Stock Exchange Inc.
SLB,SCHLUMBERGER NV,Equity,0.45,43.09,"4,008,665.00","172,733,374.85","172,733,374.85",Energía,2779201,AN8068571086,New York Stock Exchange Inc.
D,DOMINION ENERGY INC,Equity,0.44,76.64,"2,194,106.00","168,156,283.84","168,156,283.84",Servicios,2542049,US25746U1097,New York Stock Exchange Inc.
FOXA,TWENTY FIRST CENTURY FOX INC CLASS,Equity,0.41,51.70,"3,047,022.00","157,531,037.40","157,531,037.40",Comunicación,BBM4S68,US90130A1016,NASDAQ
SO,SOUTHERN,Equity,0.40,51.53,"2,977,613.00","153,436,397.89","153,436,397.89",Servicios,2829601,US8425871071,New York Stock Exchange Inc.
CME,CME GROUP INC CLASS A,Equity,0.40,168.43,"903,001.00","152,092,458.43","152,092,458.43",Financieros,2965839,US12572Q1058,NASDAQ
BLK,BLACKROCK INC,Equity,0.40,433.63,"350,660.00","152,056,695.80","152,056,695.80",Financieros,2494504,US09247X1019,New York Stock Exchange Inc.
MS,MORGAN STANLEY,Equity,0.39,42.69,"3,506,472.00","149,691,289.68","149,691,289.68",Financieros,2262314,US6174464486,New York Stock Exchange Inc.
AGN,ALLERGAN,Equity,0.39,149.80,"979,789.00","146,772,392.20","146,772,392.20",Cuidado de la Salud,BY9D546,IE00BY9D5467,New York Stock Exchange Inc.
WBA,WALGREEN BOOTS ALLIANCE INC,Equity,0.38,61.82,"2,341,750.00","144,766,985.00","144,766,985.00",Productos básicos de consumo,BTN1Y44,US9314271084,NASDAQ
GM,GENERAL MOTORS,Equity,0.38,38.03,"3,787,364.00","144,033,452.92","144,033,452.92",Consumo discrecional,B665KZ5,US37045V1008,New York Stock Exchange Inc.
OXY,OCCIDENTAL PETROLEUM CORP,Equity,0.37,65.21,"2,184,997.00","142,483,654.37","142,483,654.37",Energía,2655408,US6745991058,New York Stock Exchange Inc.
NSC,NORFOLK SOUTHERN CORP,Equity,0.37,178.99,"786,891.00","140,845,620.09","140,845,620.09",Industriales,2641894,US6558441084,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,0.37,114.48,"1,224,607.00","140,193,009.36","140,193,009.36",Comunicación,2270726,US2546871060,New York Stock Exchange Inc.
