26-Mar-2019,,,,,,,,,,
iShares Evolved U.S. Media and Entertainment ETF,,,,,,,,,,
Inception Date,"Mar 21, 2018",,,,,,,,,
Fund Holdings as of,"Mar 26, 2019",,,,,,,,,
Total Net Assets,"$5,279,297.78",,,,,,,,,
Number of Securities (excluding cash and derivatives),85.00,,,,,,,,,
Share,"200,000.00",,,,,,,,,
,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,SEDOL,ISIN,Exchange
SGA,SAGA COMMUNICATIONS INC CLASS A,Equity,0.07,33.70,108.00,"3,639.60","3,639.60",2767013,US7865983008,NASDAQ
VVI,VIAD CORP,Equity,0.07,54.01,64.00,"3,456.64","3,456.64",B01KGF5,US92552R4065,New York Stock Exchange Inc.
CETV,CENTRAL EUROPEAN MEDIA ENTERPRISES,Equity,0.06,3.77,889.00,"3,351.53","3,351.53",2529848,BMG200452024,NASDAQ
LILA,LIBERTY LATIN AMERICA LTD CLASS A,Equity,0.06,19.34,154.00,"2,978.36","2,978.36",BD9Q3P5,BMG9001E1021,NASDAQ
RDI,READING INTERNATIONAL NON VOTING I,Equity,0.05,16.06,180.00,"2,890.80","2,890.80",2536440,US7554081015,NASDAQ
HLIT,HARMONIC INC,Equity,0.05,5.70,464.00,"2,644.80","2,644.80",2510659,US4131601027,NASDAQ
TRK,SPEEDWAY MOTORSPORTS INC,Equity,0.04,14.12,148.00,"2,089.76","2,089.76",2833765,US8477881069,New York Stock Exchange Inc.
EVC,ENTRAVISION COMMUNICATIONS CORP CL,Equity,0.04,3.35,606.00,"2,030.10","2,030.10",2615112,US29382R1077,New York Stock Exchange Inc.
DJCO,DAILY JOURNAL CORP,Equity,0.03,217.50,8.00,"1,740.00","1,740.00",2251583,US2339121046,NASDAQ
USD,USD CASH,Cash,-0.12,100.00,"-6,111.00","-6,111.05","-6,111.05",--,--,--
