iShares MSCI USA ESG Select ETF,
,
Fund Inception,24-Jan-2005
,
Month End Date,Monthly Total (NAV) Return
Jan 31, 2008,-6.27
Feb 29, 2008,-2.31
Mar 31, 2008,0.14
Apr 30, 2008,3.65
May 31, 2008,2.02
Jun 30, 2008,-8.05
Jul 31, 2008,0.41
Aug 31, 2008,1.37
Sep 30, 2008,-6.90
Oct 31, 2008,-17.23
Nov 30, 2008,-8.38
Dec 31, 2008,0.26
