iShares U.S. Industrials ETF,
,
Fund Inception,12-Jun-2000
,
Month End Date,Monthly Total (NAV) Return
Jan 31, 2008,-5.45
Feb 29, 2008,-2.43
Mar 31, 2008,2.28
Apr 30, 2008,2.87
May 31, 2008,2.98
Jun 30, 2008,-10.79
Jul 31, 2008,1.30
Aug 31, 2008,1.62
Sep 30, 2008,-12.79
Oct 31, 2008,-20.62
Nov 30, 2008,-7.05
Dec 31, 2008,2.07
