iShares Russell 2000 ETF,
,
Fund Inception,22-May-2000
,
Month End Date,Monthly Total (NAV) Return
"May 31, 2000",--
"Jun 30, 2000",8.69
"Jul 31, 2000",-3.25
"Aug 31, 2000",7.59
"Sep 30, 2000",-3.24
"Oct 31, 2000",-4.24
"Nov 30, 2000",-10.41
"Dec 31, 2000",8.54
"Jan 31, 2001",5.22
"Feb 28, 2001",-6.56
"Mar 31, 2001",-4.92
"Apr 30, 2001",7.77
"May 31, 2001",2.42
"Jun 30, 2001",3.40
"Jul 31, 2001",-5.48
"Aug 31, 2001",-3.26
"Sep 30, 2001",-13.47
"Oct 31, 2001",5.67
"Nov 30, 2001",7.74
"Dec 31, 2001",6.09
"Jan 31, 2002",-1.05
"Feb 28, 2002",-2.74
"Mar 31, 2002",8.01
"Apr 30, 2002",0.90
"May 31, 2002",-4.44
"Jun 30, 2002",-4.97
"Jul 31, 2002",-15.02
"Aug 31, 2002",-0.28
"Sep 30, 2002",-7.19
"Oct 31, 2002",3.20
"Nov 30, 2002",8.90
"Dec 31, 2002",-5.57
"Jan 31, 2003",-2.78
"Feb 28, 2003",-3.03
"Mar 31, 2003",1.28
"Apr 30, 2003",9.46
"May 31, 2003",10.69
"Jun 30, 2003",1.80
"Jul 31, 2003",6.23
"Aug 31, 2003",4.57
"Sep 30, 2003",-1.87
"Oct 31, 2003",8.37
"Nov 30, 2003",3.53
"Dec 31, 2003",2.01
"Jan 31, 2004",4.32
"Feb 29, 2004",0.90
"Mar 31, 2004",0.91
"Apr 30, 2004",-5.10
"May 31, 2004",1.59
"Jun 30, 2004",4.22
"Jul 31, 2004",-6.73
"Aug 31, 2004",-0.52
"Sep 30, 2004",4.67
"Oct 31, 2004",1.93
"Nov 30, 2004",8.65
"Dec 31, 2004",2.95
"Jan 31, 2005",-4.18
"Feb 28, 2005",1.68
"Mar 31, 2005",-2.86
"Apr 30, 2005",-5.73
"May 31, 2005",6.52
"Jun 30, 2005",3.87
"Jul 31, 2005",6.32
"Aug 31, 2005",-1.86
"Sep 30, 2005",0.31
"Oct 31, 2005",-3.10
"Nov 30, 2005",4.83
"Dec 31, 2005",-0.47
"Jan 31, 2006",8.96
"Feb 28, 2006",-0.29
"Mar 31, 2006",4.84
"Apr 30, 2006",-0.03
"May 31, 2006",-5.62
"Jun 30, 2006",0.62
"Jul 31, 2006",-3.28
"Aug 31, 2006",2.95
"Sep 30, 2006",0.82
"Oct 31, 2006",5.73
"Nov 30, 2006",2.63
"Dec 31, 2006",0.32
"Jan 31, 2007",1.65
"Feb 28, 2007",-0.80
"Mar 31, 2007",1.05
"Apr 30, 2007",1.77
"May 31, 2007",4.09
"Jun 30, 2007",-1.31
"Jul 31, 2007",-6.83
"Aug 31, 2007",2.26
"Sep 30, 2007",1.72
"Oct 31, 2007",2.87
"Nov 30, 2007",-7.18
"Dec 31, 2007",-0.07
"Jan 31, 2008",-6.82
"Feb 29, 2008",-3.71
"Mar 31, 2008",0.42
"Apr 30, 2008",4.19
"May 31, 2008",4.61
"Jun 30, 2008",-7.69
"Jul 31, 2008",3.71
"Aug 31, 2008",3.61
"Sep 30, 2008",-7.94
"Oct 31, 2008",-20.76
"Nov 30, 2008",-11.78
"Dec 31, 2008",5.87
"Jan 31, 2009",-11.08
"Feb 28, 2009",-12.15
"Mar 31, 2009",8.93
"Apr 30, 2009",15.43
"May 31, 2009",3.01
"Jun 30, 2009",1.47
"Jul 31, 2009",9.64
"Aug 31, 2009",2.84
"Sep 30, 2009",5.77
"Oct 31, 2009",-6.79
"Nov 30, 2009",3.13
"Dec 31, 2009",8.03
"Jan 31, 2010",-3.68
"Feb 28, 2010",4.48
"Mar 31, 2010",8.14
"Apr 30, 2010",5.64
"May 31, 2010",-7.58
"Jun 30, 2010",-7.75
"Jul 31, 2010",6.85
"Aug 31, 2010",-7.41
"Sep 30, 2010",12.45
"Oct 31, 2010",4.08
"Nov 30, 2010",3.47
"Dec 31, 2010",7.91
"Jan 31, 2011",-0.27
"Feb 28, 2011",5.48
"Mar 31, 2011",2.58
"Apr 30, 2011",2.64
"May 31, 2011",-1.87
"Jun 30, 2011",-2.31
"Jul 31, 2011",-3.62
"Aug 31, 2011",-8.69
"Sep 30, 2011",-11.17
"Oct 31, 2011",15.08
"Nov 30, 2011",-0.34
"Dec 31, 2011",0.66
"Jan 31, 2012",7.06
"Feb 29, 2012",2.39
"Mar 31, 2012",2.56
"Apr 30, 2012",-1.55
"May 31, 2012",-6.60
"Jun 30, 2012",4.98
"Jul 31, 2012",-1.34
"Aug 31, 2012",3.34
"Sep 30, 2012",3.29
"Oct 31, 2012",-2.17
"Nov 30, 2012",0.54
"Dec 31, 2012",3.54
"Jan 31, 2013",6.25
"Feb 28, 2013",1.12
"Mar 31, 2013",4.61
"Apr 30, 2013",-0.36
"May 31, 2013",3.99
"Jun 30, 2013",-0.51
"Jul 31, 2013",7.01
"Aug 31, 2013",-3.17
"Sep 30, 2013",6.37
"Oct 31, 2013",2.51
"Nov 30, 2013",4.01
"Dec 31, 2013",1.97
"Jan 31, 2014",-2.77
"Feb 28, 2014",4.70
"Mar 31, 2014",-0.68
"Apr 30, 2014",-3.87
"May 31, 2014",0.80
"Jun 30, 2014",5.32
"Jul 31, 2014",-6.04
"Aug 31, 2014",4.96
"Sep 30, 2014",-6.03
"Oct 31, 2014",6.60
"Nov 30, 2014",0.09
"Dec 31, 2014",2.87
"Jan 31, 2015",-3.22
"Feb 28, 2015",5.95
"Mar 31, 2015",1.74
"Apr 30, 2015",-2.56
"May 31, 2015",2.29
"Jun 30, 2015",0.76
"Jul 31, 2015",-1.16
"Aug 31, 2015",-6.28
"Sep 30, 2015",-4.90
"Oct 31, 2015",5.65
"Nov 30, 2015",3.28
"Dec 31, 2015",-5.01
"Jan 31, 2016",-8.79
"Feb 29, 2016",0.00
"Mar 31, 2016",8.00
"Apr 30, 2016",1.58
"May 31, 2016",2.25
"Jun 30, 2016",-0.05
"Jul 31, 2016",5.97
"Aug 31, 2016",1.76
"Sep 30, 2016",1.12
"Oct 31, 2016",-4.73
"Nov 30, 2016",11.15
"Dec 31, 2016",2.78
"Jan 31, 2017",0.40
"Feb 28, 2017",1.92
"Mar 31, 2017",0.14
"Apr 30, 2017",1.10
"May 31, 2017",-2.03
"Jun 30, 2017",3.45
"Jul 31, 2017",0.75
"Aug 31, 2017",-1.27
"Sep 30, 2017",6.24
"Oct 31, 2017",0.84
"Nov 30, 2017",2.87
"Dec 31, 2017",-0.39
"Jan 31, 2018",2.62
"Feb 28, 2018",-3.87
"Mar 31, 2018",1.29
"Apr 30, 2018",0.87
"May 31, 2018",6.07
"Jun 30, 2018",0.70
"Jul 31, 2018",1.74
"Aug 31, 2018",4.31
"Sep 30, 2018",-2.40
"Oct 31, 2018",-10.87
"Nov 30, 2018",1.58
"Dec 31, 2018",-11.88
"Jan 31, 2019",11.24
"Feb 28, 2019",5.19
