iShares Russell 1000 ETF,
,
Fund Inception,15-May-2000
,
Month End Date,Monthly Total (NAV) Return
"Aug 31, 2017",0.30
"Sep 30, 2017",2.13
"Oct 31, 2017",2.28
"Nov 30, 2017",3.03
"Dec 31, 2017",1.11
"Jan 31, 2018",5.47
"Feb 28, 2018",-3.68
"Mar 31, 2018",-2.28
"Apr 30, 2018",0.33
"May 31, 2018",2.54
"Jun 30, 2018",0.64
"Jul 31, 2018",3.44
"Aug 31, 2018",3.44
"Sep 30, 2018",0.37
"Oct 31, 2018",-7.09
"Nov 30, 2018",2.02
"Dec 31, 2018",-9.10
"Jan 31, 2019",8.37
"Feb 28, 2019",3.37
