iShares MSCI Japan ETF,
,
Fund Inception,12-Mar-1996
,
Month End Date,Monthly Total (NAV) Return
"Apr 30, 2013",8.56
"May 31, 2013",-5.66
"Jun 30, 2013",1.71
"Jul 31, 2013",0.63
"Aug 31, 2013",-2.23
"Sep 30, 2013",8.30
"Oct 31, 2013",-0.08
"Nov 30, 2013",1.43
"Dec 31, 2013",0.83
"Jan 31, 2014",-3.98
"Feb 28, 2014",-0.43
"Mar 31, 2014",-1.22
"Apr 30, 2014",-2.64
"May 31, 2014",3.88
"Jun 30, 2014",5.24
"Jul 31, 2014",0.50
"Aug 31, 2014",-2.15
"Sep 30, 2014",-0.76
"Oct 31, 2014",-1.36
"Nov 30, 2014",0.26
"Dec 31, 2014",-1.48
"Jan 31, 2015",2.29
"Feb 28, 2015",6.02
"Mar 31, 2015",1.62
"Apr 30, 2015",3.51
"May 31, 2015",1.31
"Jun 30, 2015",-1.79
"Jul 31, 2015",0.47
"Aug 31, 2015",-5.81
"Sep 30, 2015",-6.75
"Oct 31, 2015",9.97
"Nov 30, 2015",-0.96
"Dec 31, 2015",0.24
"Jan 31, 2016",-8.22
"Feb 29, 2016",-2.93
"Mar 31, 2016",4.84
"Apr 30, 2016",4.53
"May 31, 2016",-1.00
"Jun 30, 2016",-2.52
"Jul 31, 2016",6.45
"Aug 31, 2016",0.33
"Sep 30, 2016",1.63
"Oct 31, 2016",1.28
"Nov 30, 2016",-2.48
"Dec 31, 2016",0.93
"Jan 31, 2017",3.69
"Feb 28, 2017",1.06
"Mar 31, 2017",-0.41
"Apr 30, 2017",1.09
"May 31, 2017",2.95
"Jun 30, 2017",1.04
"Jul 31, 2017",1.98
"Aug 31, 2017",-0.07
"Sep 30, 2017",1.96
"Oct 31, 2017",4.57
"Nov 30, 2017",2.96
"Dec 31, 2017",0.65
"Jan 31, 2018",4.54
"Feb 28, 2018",-1.55
"Mar 31, 2018",-2.81
"Apr 30, 2018",1.40
"May 31, 2018",-1.04
"Jun 30, 2018",-2.55
"Jul 31, 2018",0.36
"Aug 31, 2018",0.19
"Sep 30, 2018",3.05
"Oct 31, 2018",-8.48
"Nov 30, 2018",0.38
"Dec 31, 2018",-6.75
"Jan 31, 2019",6.05
"Feb 28, 2019",-0.06
