iShares Nasdaq Biotechnology ETF,
,
Fund Inception,05-Feb-2001
,
Month End Date,Monthly Total (NAV) Return
"Mar 31, 2018",-1.23
"Apr 30, 2018",-2.99
"May 31, 2018",4.72
"Jun 30, 2018",1.38
"Jul 31, 2018",6.13
"Aug 31, 2018",4.86
"Sep 30, 2018",-0.14
"Oct 31, 2018",-14.62
"Nov 30, 2018",4.73
"Dec 31, 2018",-11.20
"Jan 31, 2019",13.36
"Feb 28, 2019",2.70
