iShares U.S. Healthcare ETF,
,
Fund Inception,12-Jun-2000
,
Month End Date,Monthly Total (NAV) Return
"May 31, 2018",1.02
"Jun 30, 2018",1.63
"Jul 31, 2018",6.48
"Aug 31, 2018",4.58
"Sep 30, 2018",2.58
"Oct 31, 2018",-7.21
"Nov 30, 2018",6.64
"Dec 31, 2018",-8.95
"Jan 31, 2019",5.55
"Feb 28, 2019",1.33
