iShares Russell 2000 ETF,
,
Fund Inception,22-May-2000
,
Month End Date,Monthly Total (NAV) Return
Jan 31, 2008,-6.82
Feb 29, 2008,-3.71
Mar 31, 2008,0.42
Apr 30, 2008,4.19
May 31, 2008,4.61
Jun 30, 2008,-7.69
Jul 31, 2008,3.71
Aug 31, 2008,3.61
Sep 30, 2008,-7.94
Oct 31, 2008,-20.76
Nov 30, 2008,-11.78
Dec 31, 2008,5.87
