iShares U.S. Technology ETF,
,
Fund Inception,15-May-2000
,
Month End Date,Monthly Total (NAV) Return
"Jan 31, 2008",-12.69
"Feb 29, 2008",-3.98
"Mar 31, 2008",0.43
"Apr 30, 2008",7.29
"May 31, 2008",6.23
"Jun 30, 2008",-9.40
"Jul 31, 2008",-1.35
"Aug 31, 2008",2.30
"Sep 30, 2008",-13.04
"Oct 31, 2008",-17.19
"Nov 30, 2008",-12.04
"Dec 31, 2008",2.44
