iShares Russell 1000 Growth ETF,
,
Fund Inception,22-May-2000
,
Month End Date,Monthly Total (NAV) Return
"Jan 31, 2008",-7.80
"Feb 29, 2008",-1.99
"Mar 31, 2008",-0.64
"Apr 30, 2008",5.24
"May 31, 2008",3.64
"Jun 30, 2008",-7.21
"Jul 31, 2008",-1.92
"Aug 31, 2008",1.07
"Sep 30, 2008",-11.57
"Oct 31, 2008",-17.60
"Nov 30, 2008",-7.94
"Dec 31, 2008",1.81
