iShares U.S. Consumer Services ETF,
,
Fund Inception,12-Jun-2000
,
Month End Date,Monthly Total (NAV) Return
"Jan 31, 2008",-2.26
"Feb 29, 2008",-3.83
"Mar 31, 2008",-0.79
"Apr 30, 2008",4.29
"May 31, 2008",1.53
"Jun 30, 2008",-10.09
"Jul 31, 2008",0.41
"Aug 31, 2008",5.69
"Sep 30, 2008",-8.32
"Oct 31, 2008",-16.74
"Nov 30, 2008",-9.00
"Dec 31, 2008",5.43
