Years,Horizon Return (%)
1 Year,9.59
2 Years,10.16
3 Years,9.88
4 Years,10.21
5 Years,9.45
6 Years,7.01
7 Years,4.35
8 Years,5.39
9 Years,20.54
10 Years,22.9
11 Years,25.9
12 Years,30.63
13 Years,35.27
14 Years,30.38
15 Years,27.99
16 Years,25.39
17 Years,24.74
18 Years,21.78
19 Years,20.32
20 Years,19.07
